year_quarter,metric,insurer,value,linemain
2023-07-01,total_premiums,total,615.1717818214597,all_lines
2023-07-01,total_premiums_market_share,top-10,0.6700006101436592,all_lines
2023-07-01,total_premiums_market_share,4331,0.03505868536642239,all_lines
2023-07-01,total_premiums,top-10,412.16546916353997,all_lines
2024-07-01,total_premiums,4351,20.16300071838,all_lines
2023-07-01,total_premiums_market_share,3447,0.07019814797973488,all_lines
2024-07-01,total_premiums_q_to_q_change,0621,0.20544224221569737,all_lines
2024-07-01,total_premiums_q_to_q_change,4351,-0.06484641312581581,all_lines
2023-07-01,total_premiums_market_share,4351,0.03504901486678993,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,3825,0.026352490319657904,all_lines
2024-07-01,total_premiums,1284,19.528012096999998,all_lines
2023-07-01,total_premiums_market_share,3972,0.026997427339653445,all_lines
2024-07-01,total_premiums_market_share,2239,0.05181959588349339,all_lines
2023-07-01,total_premiums,3825,18.554696010190003,all_lines
2024-07-01,total_premiums,2239,59.75982589531,all_lines
2024-07-01,total_premiums,top-20,1043.74583551545,all_lines
2024-07-01,total_premiums,3447,83.76263444966,all_lines
2023-07-01,total_premiums,3972,16.608055481130002,all_lines
2024-07-01,total_premiums,top-10,882.9374101060599,all_lines
2023-07-01,total_premiums_market_share,1284,0.025372977784553354,all_lines
2024-07-01,total_premiums_q_to_q_change,3447,0.9396718706745748,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,4331,-0.0109442317611647,all_lines
2024-07-01,total_premiums,3972,25.066487837180002,all_lines
2023-07-01,total_premiums_market_share,3825,0.030161812616390622,all_lines
2024-07-01,total_premiums_market_share,0928,0.047531234915840125,all_lines
2024-07-01,total_premiums_q_to_q_change,0928,0.15167992565231594,all_lines
2024-07-01,total_premiums_market_share,3447,0.07263317458324142,all_lines
2024-07-01,total_premiums_market_share_q_to_q_change,3447,0.002435026603506543,all_lines
