year_quarter,value_type,metric,insurer,line,value
2024Q3,base_change,premiums_interm,0928,все линии,0.45463980245477525
2024Q3,market_share,premiums_interm,0928,все линии,0.052325010160821174
2023Q3,market_share,premiums_interm,0928,все линии,0.06547454152034599
2024Q3,market_share_change,premiums_interm,0928,все линии,-1.314953135952481
2024Q3,base,premiums_interm,3825,все линии,94.89109306215
2023Q3,base,premiums_interm,3825,все линии,47.467384332349994
2024Q3,base_change,premiums_interm,3825,все линии,0.9990798818354055
2024Q3,market_share,premiums_interm,3825,все линии,0.04978081204136054
2023Q3,market_share,premiums_interm,3825,все линии,0.04532631780564326
2024Q3,market_share_change,premiums_interm,3825,все линии,0.44544942357172823
2024Q3,base,premiums_interm,1209,все линии,96.48965595049
2023Q3,base,premiums_interm,1209,все линии,81.65354990997
2024Q3,base_change,premiums_interm,1209,все линии,0.18169578734639316
2024Q3,market_share,premiums_interm,1209,все линии,0.05061943404594244
2023Q3,market_share,premiums_interm,1209,все линии,0.07797048026208406
2024Q3,market_share_change,premiums_interm,1209,все линии,-2.7351046216141617
2024Q3,base,premiums_interm,0621,все линии,81.58819190943001
2023Q3,base,premiums_interm,0621,все линии,56.74753636922
2024Q3,base_change,premiums_interm,0621,все линии,0.43773980562940595
2024Q3,market_share,premiums_interm,0621,все линии,0.042801977669048925
2023Q3,market_share,premiums_interm,0621,все линии,0.054187878779020635
2024Q3,market_share_change,premiums_interm,0621,все линии,-1.138590110997171
2024Q3,base,premiums_interm,4331,все линии,58.193610291409996
2023Q3,base,premiums_interm,4331,все линии,32.963548053749996
2024Q3,base_change,premiums_interm,4331,все линии,0.7653927968105904
2024Q3,market_share,premiums_interm,4331,все линии,0.030528947264075578
2023Q3,market_share,premiums_interm,4331,все линии,0.03147669238786336
2024Q3,market_share_change,premiums_interm,4331,все линии,-0.0947745123787782
2024Q3,base,premiums_interm,0001,все линии,52.33539585626
2023Q3,base,premiums_interm,0001,все линии,45.04321591602
2024Q3,base_change,premiums_interm,0001,все линии,0.16189296860676572
2024Q3,market_share,premiums_interm,0001,все линии,0.02745566965409818
2023Q3,market_share,premiums_interm,0001,все линии,0.04301149406722859
2024Q3,market_share_change,premiums_interm,0001,все линии,-1.5555824413130408
2024Q3,base,premiums_interm_ratio,3692,все линии,0.9632115253744411
2023Q3,base,premiums_interm_ratio,3692,все линии,0.7109378822271871
2024Q3,base_change,premiums_interm_ratio,3692,все линии,0.3548462523293104
2024Q3,base,premiums_interm_ratio,3447,все линии,0.9987615182391901
2023Q3,base,premiums_interm_ratio,3447,все линии,0.6942377820885167
2024Q3,base_change,premiums_interm_ratio,3447,все линии,0.4386447180021758
2024Q3,base,premiums_interm_ratio,1208,все линии,0.3805136006541902
2023Q3,base,premiums_interm_ratio,1208,все линии,0.4573698340960064
2024Q3,base_change,premiums_interm_ratio,1208,все линии,-0.16803957697324506
