metric,insurer,line,value_type,year_quarter,value
direct_losses,0397,нс и оглс,base,2022-07-01,0.012839859669999999
direct_losses,0397,нс и оглс,base,2023-07-01,0.0245819050399999
direct_losses,0397,нс и оглс,base,2024-07-01,0.0174846024699998
direct_losses,0397,осаго,base,2020-07-01,0.9172023964899998
direct_losses,0397,осаго,base,2021-07-01,1.22173415591
direct_losses,0397,осаго,base,2022-07-01,1.69295238139
direct_losses,0397,осаго,base,2023-07-01,1.7945005418400002
direct_losses,0397,осаго,base,2024-07-01,1.2998568970900002
direct_losses,0436,дмс,base,2024-07-01,0.00028269
direct_losses,0436,нс и оглс,base,2020-07-01,0.000162094
direct_losses,0436,нс и оглс,base,2022-07-01,0.0008214392500000001
direct_losses,0436,нс и оглс,base,2023-07-01,0.021321806299999902
direct_losses,0436,нс и оглс,base,2024-07-01,0.09769827869
direct_losses,0448,дмс,base,2020-07-01,0.0038570996899999
direct_losses,0448,дмс,base,2021-07-01,0.0034843249799999
direct_losses,0448,дмс,base,2022-07-01,0.0043098543199999
direct_losses,0448,дмс,base,2023-07-01,0.0063385530699999
direct_losses,0448,дмс,base,2024-07-01,0.0048728506099999
direct_losses,0473,дмс,base,2020-07-01,0.0003365855
direct_losses,0507,дмс,base,2020-07-01,0.00403966331
direct_losses,0507,дмс,base,2021-07-01,0.00313939909
direct_losses,0507,нс и оглс,base,2020-07-01,0.00661090364
direct_losses,0507,нс и оглс,base,2021-07-01,0.00573725665
direct_losses,0518,дмс,base,2020-07-01,0.13460144469
direct_losses,0518,дмс,base,2021-07-01,0.1935762139099999
direct_losses,0518,дмс,base,2022-07-01,0.17946218608999986
direct_losses,0518,дмс,base,2023-07-01,0.20122590569999999
direct_losses,0518,дмс,base,2024-07-01,0.1956252049399999
direct_losses,0518,нс и оглс,base,2020-07-01,0.0010178146699998999
direct_losses,0518,нс и оглс,base,2021-07-01,0.011395930700000001
direct_losses,0518,нс и оглс,base,2022-07-01,0.0049708254599999
direct_losses,0518,нс и оглс,base,2023-07-01,0.00114717585
direct_losses,0518,нс и оглс,base,2024-07-01,0.0007888399999999
direct_losses,0518,осаго,base,2020-07-01,0.17949599777999992
direct_losses,0518,осаго,base,2021-07-01,0.19810217342999992
direct_losses,0518,осаго,base,2022-07-01,0.2207727483399999
direct_losses,0518,осаго,base,2023-07-01,0.2760056997099999
direct_losses,0518,осаго,base,2024-07-01,0.38511768097999977
direct_losses,0574,дмс,base,2020-07-01,0.055829221199999904
direct_losses,0574,дмс,base,2021-07-01,0.00850848415
direct_losses,0574,нс и оглс,base,2020-07-01,0.00177674198
direct_losses,0574,нс и оглс,base,2021-07-01,0.00077184
direct_losses,0585,дмс,base,2020-07-01,0.0137334471999999
direct_losses,0585,дмс,base,2021-07-01,0.0186562168999999
direct_losses,0585,дмс,base,2022-07-01,0.02388784197
direct_losses,0585,дмс,base,2023-07-01,0.02992122741
direct_losses,0585,дмс,base,2024-07-01,0.033825977539999996
direct_losses,0585,нс и оглс,base,2020-07-01,0.0215331065999999
direct_losses,0585,нс и оглс,base,2021-07-01,0.0124717573599999
direct_losses,0585,нс и оглс,base,2022-07-01,0.0052418850499999
direct_losses,0585,нс и оглс,base,2023-07-01,0.0068052911399999
direct_losses,0585,нс и оглс,base,2024-07-01,0.00749227324
direct_losses,0585,осаго,base,2020-07-01,0.1888893008099999
direct_losses,0585,осаго,base,2021-07-01,0.2083397135299999
direct_losses,0585,осаго,base,2022-07-01,0.20071167921999988
direct_losses,0585,осаго,base,2023-07-01,0.1168367643899999
direct_losses,0585,осаго,base,2024-07-01,0.1041932079699999
direct_losses,0621,дмс,base,2020-07-01,3.04678940109
direct_losses,0621,дмс,base,2021-07-01,4.77834934715
direct_losses,0621,дмс,base,2022-07-01,4.55168880275
direct_losses,0621,дмс,base,2023-07-01,5.204374684039999
direct_losses,0621,дмс,base,2024-07-01,7.15812459113
direct_losses,0621,нс и оглс,base,2020-07-01,0.84536388329
direct_losses,0621,нс и оглс,base,2021-07-01,1.1191179036799999
direct_losses,0621,нс и оглс,base,2022-07-01,1.43470997425
direct_losses,0621,нс и оглс,base,2023-07-01,1.5443726348999998
direct_losses,0621,нс и оглс,base,2024-07-01,2.30069983397
direct_losses,0621,осаго,base,2020-07-01,11.14925144611
direct_losses,0621,осаго,base,2021-07-01,10.155782512770001
direct_losses,0621,осаго,base,2022-07-01,8.44512861895
direct_losses,0621,осаго,base,2023-07-01,12.3262890062
direct_losses,0621,осаго,base,2024-07-01,17.130927413989998
direct_losses,0630,дмс,base,2020-07-01,0.1069830749999999
direct_losses,0630,дмс,base,2021-07-01,0.1226647915999999
direct_losses,0630,дмс,base,2022-07-01,0.13936436504
direct_losses,0630,дмс,base,2023-07-01,0.1742205643299998
direct_losses,0630,дмс,base,2024-07-01,0.2478597153
direct_losses,0630,нс и оглс,base,2020-07-01,0.0147830397899999
direct_losses,0630,нс и оглс,base,2021-07-01,0.046547432539999996
direct_losses,0630,нс и оглс,base,2022-07-01,0.03605803782
direct_losses,0630,нс и оглс,base,2023-07-01,0.0156025106499999
direct_losses,0630,нс и оглс,base,2024-07-01,0.0180949645299999
direct_losses,0630,осаго,base,2020-07-01,1.3512547037400002
direct_losses,0630,осаго,base,2021-07-01,1.63939553772
direct_losses,0630,осаго,base,2022-07-01,0.93337683149
direct_losses,0630,осаго,base,2023-07-01,0.9256823056599999
direct_losses,0630,осаго,base,2024-07-01,1.16453439707
direct_losses,0667,дмс,base,2020-07-01,0.01916183998
direct_losses,0667,дмс,base,2021-07-01,0.0320114949
direct_losses,0667,дмс,base,2022-07-01,0.11326335619
direct_losses,0667,дмс,base,2023-07-01,0.1342982060699999
direct_losses,0667,нс и оглс,base,2020-07-01,0.05374576355
direct_losses,0667,нс и оглс,base,2021-07-01,0.0717836034999999
direct_losses,0667,нс и оглс,base,2022-07-01,0.1096378705999999
direct_losses,0667,нс и оглс,base,2023-07-01,0.0830022459399999
direct_losses,0758,дмс,base,2020-07-01,0.0594346822299999
direct_losses,0758,дмс,base,2021-07-01,0.1421624384
direct_losses,0915,дмс,base,2020-07-01,0.0952018028099999
direct_losses,0915,дмс,base,2021-07-01,0.12004871722
direct_losses,0915,дмс,base,2022-07-01,0.2462916745399999
direct_losses,0915,дмс,base,2023-07-01,0.3170169081799999
direct_losses,0915,дмс,base,2024-07-01,0.38511325973
direct_losses,0915,нс и оглс,base,2020-07-01,0.0909275611299999
direct_losses,0915,нс и оглс,base,2021-07-01,0.0940553462
direct_losses,0915,нс и оглс,base,2022-07-01,0.13483701224
direct_losses,0915,нс и оглс,base,2023-07-01,0.1417958939699998
direct_losses,0915,нс и оглс,base,2024-07-01,0.2100392470299999
direct_losses,0915,осаго,base,2020-07-01,0.12111969981000001
direct_losses,0915,осаго,base,2021-07-01,0.1375712749199999
direct_losses,0915,осаго,base,2022-07-01,0.1101692198099999
direct_losses,0915,осаго,base,2023-07-01,0.1078915585399999
direct_losses,0915,осаго,base,2024-07-01,0.1403699408999998
direct_losses,0928,дмс,base,2020-07-01,5.078912137210001
direct_losses,0928,дмс,base,2021-07-01,5.2550904446699995
direct_losses,0928,дмс,base,2022-07-01,6.6104503981
direct_losses,0928,дмс,base,2023-07-01,7.6674885817
direct_losses,0928,дмс,base,2024-07-01,7.9977341954300005
direct_losses,0928,нс и оглс,base,2020-07-01,0.3504502431099999
direct_losses,0928,нс и оглс,base,2021-07-01,0.52154089718
direct_losses,0928,нс и оглс,base,2022-07-01,1.04057523724
direct_losses,0928,нс и оглс,base,2023-07-01,1.2495124197
direct_losses,0928,нс и оглс,base,2024-07-01,1.49311104895
direct_losses,0928,осаго,base,2020-07-01,11.09895652955
direct_losses,0928,осаго,base,2021-07-01,11.321353528829999
direct_losses,0928,осаго,base,2022-07-01,14.784767900159999
direct_losses,0928,осаго,base,2023-07-01,22.016885555149997
direct_losses,0928,осаго,base,2024-07-01,25.003999744380003
direct_losses,0983,дмс,base,2020-07-01,0.00143857415
direct_losses,0983,нс и оглс,base,2020-07-01,0.0086589908899998
direct_losses,1083,дмс,base,2020-07-01,0.11886986169
direct_losses,1083,дмс,base,2021-07-01,0.09561498565000001
direct_losses,1083,дмс,base,2022-07-01,0.09778416026
direct_losses,1083,дмс,base,2023-07-01,0.0348008848199999
direct_losses,1083,нс и оглс,base,2020-07-01,0.0784670566399999
direct_losses,1083,нс и оглс,base,2021-07-01,0.15570927788
direct_losses,1083,нс и оглс,base,2022-07-01,0.1185808126299999
direct_losses,1083,нс и оглс,base,2023-07-01,0.1487373354399999
direct_losses,1083,осаго,base,2020-07-01,1.04147675804
direct_losses,1083,осаго,base,2021-07-01,1.1268140356699998
direct_losses,1083,осаго,base,2022-07-01,1.32652784796
direct_losses,1083,осаго,base,2023-07-01,1.20390613925
direct_losses,1182,дмс,base,2020-07-01,0.04564495529
direct_losses,1182,дмс,base,2021-07-01,0.07761046932
direct_losses,1182,дмс,base,2022-07-01,0.1513237395999999
direct_losses,1182,дмс,base,2023-07-01,0.1604897430199999
direct_losses,1182,дмс,base,2024-07-01,0.1655102251099999
direct_losses,1182,нс и оглс,base,2020-07-01,0.00479581296
direct_losses,1182,нс и оглс,base,2021-07-01,0.012590758149999898
direct_losses,1182,нс и оглс,base,2022-07-01,0.0234814143999999
direct_losses,1182,нс и оглс,base,2023-07-01,0.0268597374999999
direct_losses,1182,нс и оглс,base,2024-07-01,0.0321201232799999
direct_losses,1208,дмс,base,2020-07-01,32.4450711593
direct_losses,1208,дмс,base,2021-07-01,42.20075030934
direct_losses,1208,дмс,base,2022-07-01,43.96723051314
direct_losses,1208,дмс,base,2023-07-01,49.33722907447
direct_losses,1208,дмс,base,2024-07-01,54.47980635188999
direct_losses,1208,нс и оглс,base,2020-07-01,8.63682900481
direct_losses,1208,нс и оглс,base,2021-07-01,14.37593732891
direct_losses,1208,нс и оглс,base,2022-07-01,6.286572015960001
direct_losses,1208,нс и оглс,base,2023-07-01,5.87451809077
direct_losses,1208,нс и оглс,base,2024-07-01,6.523765517679999
direct_losses,1208,осаго,base,2020-07-01,6.05451840614
direct_losses,1208,осаго,base,2021-07-01,6.02182782931
direct_losses,1208,осаго,base,2022-07-01,6.997340514639999
direct_losses,1208,осаго,base,2023-07-01,7.93969400552
direct_losses,1208,осаго,base,2024-07-01,9.247253531670001
direct_losses,1209,дмс,base,2020-07-01,10.00697990226
direct_losses,1209,дмс,base,2021-07-01,12.892945666460001
direct_losses,1209,дмс,base,2022-07-01,15.49873748819
direct_losses,1209,дмс,base,2023-07-01,14.95351744956
direct_losses,1209,дмс,base,2024-07-01,15.15458525995
direct_losses,1209,нс и оглс,base,2020-07-01,0.83518855615
direct_losses,1209,нс и оглс,base,2021-07-01,1.02985605885
direct_losses,1209,нс и оглс,base,2022-07-01,1.12079900843
direct_losses,1209,нс и оглс,base,2023-07-01,1.1166120070599999
direct_losses,1209,нс и оглс,base,2024-07-01,1.33806620972
direct_losses,1209,осаго,base,2020-07-01,12.087477634379999
direct_losses,1209,осаго,base,2021-07-01,17.75952352376
direct_losses,1209,осаго,base,2022-07-01,18.128433914429998
direct_losses,1209,осаго,base,2023-07-01,17.13310488063
direct_losses,1209,осаго,base,2024-07-01,19.51718447724
direct_losses,1216,дмс,base,2020-07-01,0.2701569501599999
direct_losses,1216,дмс,base,2021-07-01,0.3445667620999999
direct_losses,1216,дмс,base,2022-07-01,0.3270547416799999
direct_losses,1216,дмс,base,2023-07-01,0.3252219048399999
direct_losses,1216,дмс,base,2024-07-01,0.44202857321
direct_losses,1216,нс и оглс,base,2020-07-01,0.00771833273
direct_losses,1216,нс и оглс,base,2021-07-01,0.0064183390599998995
direct_losses,1216,нс и оглс,base,2022-07-01,0.007999765259999899
direct_losses,1216,нс и оглс,base,2023-07-01,0.0037291202
direct_losses,1216,нс и оглс,base,2024-07-01,0.004308342639999799
direct_losses,1216,осаго,base,2020-07-01,0.52410969601
direct_losses,1216,осаго,base,2021-07-01,0.6145881263
