insurer,metric,все линии&2024Q3&base,все линии&2024Q3&base_change,все линии&2023Q3&base
total,direct_premiums,2407.47192500854,0.4619652550236474,1646.7367584393098
total,premiums_interm,1906.17808691649,0.8201979101436712,1047.2367187621
total,premiums_interm_ratio,0.7917758321978057,0.24503499921701585,0.6359466462354406
