1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
141,3954,"ООО РСО  ""ЕВРОИНС""",Смоленск,304275745.71191,4450185.5677,0,0,0,0,304275745.71191,137164805.5064,117366683.21243,0,0,19798122.29397,167110940.20551,133428678.2642,632487.89219,0,0,257503.46106,115481167.25824,174033.47,149142.47,13947632.435,2935853.74771,31972825.37989,114300,114300,0,0,0,513626.8,0,1098737.33763,29055798.76226,1190362.48,0,1709436.56142,0,0,0,0,0,0,0,0
142,3767,"ООО СК ""АСКОР""",Москва,3240840.09439,0,0,0,0,0,3240840.09439,1286160.01148,1286160.01148,0,0,0,1954680.08291,1777445.55291,551115.33762,0,0,0,1167020.00729,0,0,1542.333,57767.875,162792.55,1400,1400,0,0,0,0,0,0,161392.55,0,0,14441.98,0,0,0,0,0,0,0,0
143,3398,"ООО СК ""ВТБ Страхование""",Москва,55692350042.2062,1465558237.9111,0,0,0,0,22482762648.0337,10915585532.4549,6572540833.61142,0,0,4343044698.84349,11567177115.5788,8505137650.97716,9980034.40879,3677775.23182,98233178.43864,2544508.405,1198898896.48476,0,0,2756430560.97657,4435372697.03158,2178621119.82219,1232375,1232375,0,0,1011389145.04778,144540.9,38280,71961537.3438,1093805436.45561,49805.075,41355.225,883376989.55447,100919042.17248,100919042.17248,0,33108668352,60760000,33047908352,0,0
144,3870,"ООО СК ""ДЕЛО ЖИЗНИ""",Москва,2676773.434,0,273613.049,273613.049,0,0,2403160.385,2403160.385,2398910.306,0,0,4250.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0902,"ООО СК ""Кайрос""",Петропавловск-Камчатский,2012747.65648,0,0,0,0,0,2012747.65648,161200,161200,0,0,0,1851547.65648,766056.37148,0,0,0,766056.37148,0,0,0,0,0,812000,0,0,0,0,0,812000,0,0,0,0,0,273491.285,0,0,0,0,0,0,0,0
146,1867,"ООО СК ""Коместра-Томь""",Томск,128738900.64426,0,0,0,0,0,128738900.64426,124247295.167,1119511.167,0,0,123127784,4491605.47726,4146993.05426,1812900.309,0,0,0,87044.453,0,0,1289831.61126,957216.681,344612.423,14000,14000,0,0,0,0,0,159782,99340,71490.423,0,0,0,0,0,0,0,0,0,0
147,3847,"ООО СК ""Независимая страховая группа""",Москва,725104789.36711,36360,0,0,0,0,719459789.36711,173696371.9025,2880977.7595,0,0,170815394.143,545763417.46461,495485838.21319,192105.78,0,170965068.80414,0,300825790.334,0,0,23025156.44705,477716.848,50277579.25142,12460,12460,0,0,25197594.8,0,0,0,25067524.45142,0,0,0,0,0,0,5645000,5645000,0,0,0
148,0326,"ООО СК ""Орбита""",Москва,38068379.50998,11921580.76231,0,0,0,0,38068379.50998,7693344.5411,7656624.5411,0,0,36720,30375034.96888,3830789.40694,24571.38,0,0,2444928.07285,301314.98689,345981.89041,345981.89041,702873.56106,11119.51573,25916228.05987,0,0,0,0,1101,11148653.883,0,14008461.377,480480.02737,277531.7725,0,628017.50207,0,0,0,0,0,0,0,0
149,3268,"ООО СК ""Паритет-СК""",Москва,10798847913.2734,538439.293,0,0,0,0,20197017.27341,1261343.85966,476417.63894,0,0,784926.22072,18935673.41375,13096256.14921,759752.22495,0,0,26550,3217292.2097,0,0,9015380.98076,77280.7338,3910997.9195,968000,220900,0,0,5900,0,100,105743,2831254.9195,0,0,1928419.34504,0,0,0,10778650896,1610000,10777040896,0,0
150,2682,"ООО СК ""ПРОФСОДРУЖЕСТВО""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0013,"ООО СК ""РЕСО-Шанс""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,3879,"ООО СК ""Росгосстрах Жизнь""",Москва,130912216.71291,5438488.91049,7505017.29038,7505017.29038,0,0,123407199.42253,123407199.42253,122291382.75519,0,0,1115816.66734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,4331,"ООО СК ""Сбербанк страхование""",Москва,6952833670.53029,0,0,0,0,0,6952833670.53029,3912594986.8745,9142362.8065,0,0,3903452624.068,3040238683.65579,2268174307.92819,0,134065.54998,0,0,914877.86435,1592855.20987,371614.445,636524361.37124,1629008147.93275,338261596.20718,0,0,0,0,0,0,0,0,338261596.20718,0,2276492.478,431526287.04242,0,0,0,0,0,0,0,0
154,3511,"ООО СК ""Согласие-Вита""",Москва,31454681.39927,21000,28049462.87077,28049462.87077,26769231.33376,0,3405218.5285,3405218.5285,651518.5285,0,0,2753700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557086.7134
155,1623,"ООО СК ""Тюмень-Полис""",Тюмень,27432606.80166,0,0,0,0,0,27432606.80166,9578454.75357,9578454.75357,0,0,0,17854152.04809,11827053.58746,148093.93924,0,0,0,0,0,0,2061752.89356,9617206.75466,2650,0,0,0,0,0,0,0,0,2650,0,0,6024448.46063,0,0,0,0,0,0,0,0
156,0667,"ООО СК ""УРАЛСИБ СТРАХОВАНИЕ""",Москва,342741693.7675,0,0,0,0,0,342741693.7675,60996250.57401,27771918.77872,0,0,33224331.79529,281745443.19349,261110509.78412,131304.45807,0,0,0,178105913.88922,0,0,23790750.22673,59082541.2101,20108172.14219,0,0,0,0,0,0,635606.76095,0,19332565.38124,140000,0,526761.26718,0,0,0,0,0,0,0,0
157,4001,"ООО СК ""Чулпан-Жизнь""",Альметьевск,504189.876,0,299344.476,298429.476,0,915,204845.4,204845.4,204845.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3543,"ООО СК ""Экип""",Москва,4160543.57898,0,0,0,0,0,4160543.57898,519662.05001,488962.1,0,0,30699.95001,3640881.52897,3280321.97797,2074686.389,0,0,15000,124449.57201,0,0,595708.00416,470478.0128,359299.551,181751.75,181751.75,0,0,0,0,0,47000,120547.801,10000,0,1260,0,0,0,0,0,0,0,0
159,4365,ООО СК «БКС Страхование жизни»,Москва,3624333.42164,0,3624333.42164,3624333.42164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4133,ООО СК ЭчДиАй Глобал,Москва,1353194180.40393,0,0,0,0,0,1353194180.40393,6857164.89488,6857164.89488,0,0,0,1346337015.50905,1148549364.62597,0,0,0,0,351202219.68743,0,0,797347144.93854,0,67693938.15443,0,0,0,0,0,0,0,31362490.78212,36331447.37231,0,130093712.72865,0,0,0,0,0,0,0,0,0
161,0758,"ООО СМК ""АСТРА-МЕТАЛЛ""",Магнитогорск,94789855.2372,0,0,0,0,0,94789855.2372,94789855.2372,0,0,0,94789855.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,3313,"ООО СМК ""УГМК-Медицина""",Екатеринбург,720812.07326,325959.1762,0,0,0,0,720812.07326,720812.07326,0,0,0,720812.07326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1457,"ООО СМК ""Урал-Рецепт М""",Екатеринбург,7993,300,0,0,0,0,7993,7993,0,0,0,7993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3957,"ООО СМО ""Чулпан-Мед""",Альметьевск,2113.785,0,0,0,0,0,2113.785,2113.785,0,0,0,2113.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3245,"ООО СО ""ВЕРНА""",Краснодар,49640933.20138,0,0,0,0,0,49640933.20138,24862099.11632,18847001.43611,0,0,6015097.68021,24778834.08506,14381556.73995,1249720.49955,0,0,22600,22469.89962,2629279.5654,2604140.487,9230892.13818,1226594.6372,3289411.7461,54681.79,54681.79,0,0,3100,21618,0,1118340.37801,2085504.96309,6166.615,0,7107865.59901,0,0,0,0,0,0,0,0
166,2397,"ООО СО ""Геополис""",Москва,3196380.37922,0,0,0,0,0,3196380.37922,16210.2788,3980.2788,0,0,12230,3180170.10042,2904540.10042,724096.4985,0,0,0,0,0,0,1221407.12392,959036.478,275630,236600,236600,0,0,0,0,0,0,39030,0,0,0,0,0,0,0,0,0,0,0
167,1643,"ООО СПК ""Юнити Ре""",Москва,2231705,0,0,0,0,0,2231705,2231705,0,0,0,2231705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0397,"ООО Страховая Компания  ""Гелиос""",Москва,196347006.69941,0,0,0,0,0,189492006.69941,132783771.77816,88162007.42616,0,0,44621764.352,56708234.92125,39167563.43588,1835353.6801,0,30000,132558.966,3719988.83775,0,0,18806497.31399,14643164.63804,16676018.89557,5221925,5221925,0,0,27312,169639.7,40500,39260,11016882.19557,160500,0,864652.5898,0,0,0,6855000,6855000,0,0,0
169,2243,"ПАО ""АСКО-СТРАХОВАНИЕ""",Челябинск,444557011.7699,0,0,0,0,0,444557011.7699,394048471.15466,11276393.75166,0,0,382772077.403,50508540.61524,49870098.49443,36737683.48467,0,0,0,576332.97745,0,0,4372194.50933,8183887.52298,638442.12081,68330,68330,0,0,0,0,0,4900,565212.12081,0,0,0,0,0,0,0,0,0,0,0
170,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,701356332071.594,286903986.492,0,0,0,0,1796083631.594,926567311.416,787503822.719,1534600,0,139063488.697,869516320.178,536644889.63,46416834.498,2473438.75,294109.65,446633.225,45375525.33,2706649.202,861677.532,357200870.686,81730828.289,319620273.862,10417558.556,9619958.556,0,30000,12450,1792322.368,2515527.662,2353891.8,301975297.484,523225.992,1955670.642,11295486.044,0,0,0,699560248440,69825000,699490423440,0,0
171,0001,"ПАО СК ""Росгосстрах""",Люберцы,1051690475055.41,1598811575.61537,0,0,0,0,8373397242.72685,5578516009.06153,1582772028.43241,802000,0,3995743980.62912,2794881233.66532,2423969369.15958,180330462.82106,304783088.56043,1424803,33213894.93044,52271970.86907,8209800.08893,5498054.4,930203506.33031,913531842.55934,333695269.37832,18704722.23267,18704722.23267,0,0,130663.2,74935835.8001,165120927.41735,1563727.987,72996149.75552,243242.98568,27333590.90813,9883004.21929,8556.6871,8556.6871,0,1043317069256,266695000,1043050374256,0,0
172,0621,"САО ""ВСК""",Москва,1388542045234.57,119845520.58941,0,0,0,0,11061131584.5709,3108967680.57245,1354348243.89155,168000,0,1754619436.6809,7952163903.99841,7340257194.29225,1027980975.42611,219262486.22916,73285999.40879,67603346.14432,3489190042.12689,20091549.25453,8473530.42416,1794259008.72976,648583786.97269,554485598.77692,23811409.519,23811409.519,0,10000,237116052.55,49123962.85453,17628723.16577,28284593.47956,197143810.49891,1367046.70915,11625915.31607,45795195.61317,0,0,0,1377480913650,312300000,1377168613650,0,0
173,0448,"САО ""ГЕОПОЛИС""",Москва,7760.311,0,0,0,0,0,7760.311,7760.311,0,0,0,7760.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0348,"САО ""ЛЕКСГАРАНТ""",Москва,243147225.82224,0,0,0,0,0,243147225.82224,104987.68709,87949.68709,0,0,17038,243042238.13515,3329477.15704,104747.02,0,1324302.07934,0,1162916.70872,0,0,493486.70294,244024.64604,117524844.16,3000,3000,0,0,107076493.2,0,0,0,10059954.96,385396,0,122187916.81811,0,0,0,0,0,0,0,0
175,0141,"САО ""Медэкспресс""",Санкт-Петербург,127495713.94931,1284362.06,0,0,0,0,127495713.94931,125266862.877,2218998.136,0,0,123047864.741,2228851.07231,2052451.07231,389069.42,0,0,0,76258.95245,0,0,1302678.50914,284444.19072,176400,139000,139000,0,0,0,0,0,0,37400,0,0,0,0,0,0,0,0,0,0,0
176,2182,"САО ""Надежда""",Красноярск,305338406.12793,0,0,0,0,0,305338406.12793,268264170.4178,49597425.7348,0,0,218666744.683,37074235.71013,30491030.69287,24797816.19897,0,0,0,379516.11156,0,0,2166993.06044,3146705.3219,795349.59256,52100.00002,52100.00002,0,0,0,88598.4,1100,4940,638111.19254,10500,0,5787855.4247,0,0,0,0,0,0,0,0
177,0177,САО ЭРГО,Москва,700859028.69791,1260338.882,0,0,0,0,700859028.69791,363090638.16517,359966090.03017,0,0,3124548.135,337768390.53274,276034517.71705,48782750.61744,30478.181,0,17540.368,68122471.42597,0,0,134040028.56317,25041248.56147,42910047.91901,1781000,1781000,0,0,0,0,6600,4177781.89,36944666.02901,0,16835255.29737,1988569.59931,0,0,0,0,0,0,0,0
178,1372,"СМК ""АСТРАМЕД-МС"" (АО)",Екатеринбург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0928,"СПАО ""Ингосстрах""",Москва,3105232433437.21,6474664136.62467,0,0,0,0,60712450837.2142,5333036864.2419,371826550.02038,16984000,0,4961210314.22152,55379413972.9723,24223509836.4037,13924776401.1216,14093544.52854,551524835.07267,274931144.76111,1500686476.01175,1876138.04162,0,6963929980.48623,991691316.3802,16609108416.5315,243047233.82318,243047233.82318,0,0,11274083709.092,4594818128.166,19003787.62286,147647769.72769,329285140.78684,1222647.31292,4228246.72602,14542567473.3111,0,0,0,3044519982600,226140000,3044293842600,0,0
180,1209,"СПАО ""РЕСО-Гарантия""",Москва,268871180745.816,376104102.76408,0,0,0,0,21255174095.8157,15673351444.2391,998794353.58842,4100000,0,14674557090.6507,5581822651.57658,4719989385.59885,351072234.61592,19112342.58668,0,46504.705,1329880605.74798,55145.94236,0,2206235175.34724,813587376.65367,402587973.83283,103207459.93876,103207459.93876,0,2000,0,177017.2,12009936.23409,85591144.427,198662953.51798,2937462.515,394115739.8626,65129552.2823,0,0,0,247616006650,212875000,247403131650,0,0
в том числе:,,,,67798189347.8993,Х,5411926003.60474,5410963499.08801,Х,962504.51673,62386263344.2945,38283170010.4095,22917691236.1364,Х,Х,15365478774.2731,24103093333.8851,15730630130.6549,1719003724.55939,0,3654032.02061,7012499.11482,10684156.45141,1003443.68226,0,Х,13989272274.8264,934295902.94706,188021018.52998,187275218.52998,0,0,5161345.26931,1346043.8518,Х,Х,697534358.17341,42233137.12256,Х,7438167300.28309,0,Х,Х,0,Х,Х,Х,Х
по договорам страхования с физическими лицами,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
по договорам страхования с индивидуальными предпринимателями и юридическими лицами,,,,23465326575294.2,Х,649799022.07497,649711314.24292,Х,87707.83205,288248949705.893,88137579533.7439,30892019463.1083,35298600,126260261.61,57245560070.6356,200111370172.149,129358005020.897,15226610300.2754,1222166068.64097,1650568504.78758,806921336.26246,33652063087.125,232080652.02501,113755683.61145,76403726772.4528,163868299.32741,45387606653.0977,637120770.02017,636291870.02017,0,302000,19929482585.2813,18548833766.4053,505868682.64676,660720726.89484,5064060832.65063,41217289.19869,7169472671.72673,18196285826.428,718398319.37606,718398319.37606,Х,23175709428246.8,2203952500,23173505475746.8,Х,Х
