1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
37,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,13488.76539,-,-,-,-,13488.05598,-,-,-,-,-,13488.05598,11753.66673,94.356,-,-,3972.15647,995.053,-,-,6630.035,62.06626,1734.38925,-,-,-,-,-,-,-,-,1057.10779,677.28146,-,-,-,-,-,0.70941,-,-0.55374,1.26315,-
38,3127,"ООО ""Страховое общество ""Сургутнефтегаз""",Сургут,95080.87442,-,-,-,-,20592.33274,242.58682,242.58682,-,-,-,20349.74592,18691.37065,1528.85454,-,4184.01588,-,7683.622,-,-,4077.10766,1217.77057,1436.98945,110.05201,110.05201,-,-,50.84333,-,1278.01555,5.1631,4.21626,-11.3008,-,221.38582,-,-,-,74488.54168,-,35785.90673,38702.63495,-
39,0585,"ООО ""СФ ""Адонис""",Пермь,24864.10279,-,-,-,-,8025.78486,4.22903,4.22903,-,-,-,8021.55583,7896.04794,41.4487,-,-,-,-,-,-,7848.22424,6.375,125.50789,-,-,-,-,-,20.49288,-,-,98.67001,6.345,-,-,-,-,-,16838.31793,-,8916.05748,7922.26045,-
40,3398,"ООО СК ""ВТБ Страхование""",Москва,1870052.49373,-,-,-,-,1432973.56714,5308.54388,5308.54388,-,-,-,1427665.02326,1283072.92495,375.83684,188.32745,174672.74238,488.00295,37744.46069,-,-,1068175.31263,1428.24201,120236.1043,-,-,-,-,79650.86065,-,359.9178,4727.61275,35516.44741,-18.73431,104.51297,24251.48104,-,-,-,437078.92659,-,236238.2678,200840.65879,-
41,3847,"ООО СК ""Независимая страховая группа""",Москва,36379.489,-,-,-,-,3257.19074,-,-,-,-,-,3257.19074,3251.49309,-,-,-,-,1930.3966,-,-,1321.09649,-,5.69765,-,-,-,-,-,-,-,5.69765,-,-,-,-,-,-,-,33122.29826,-,-,33122.29826,-
42,3268,"ООО СК ""Паритет-СК""",Москва,57942.77797,-,-,-,-,32398.31125,451.37261,451.37261,-,-,-,31946.93864,31099.00394,24.4958,-,995.07988,9.52,1679.88392,-,-,28390.02434,-,844.81799,2.55194,2.55194,-,-,-,-,-,-,842.26605,-,-,3.11671,-,-,-,25544.46672,-,13447.47431,12096.99241,-
43,4331,"ООО СК ""Сбербанк страхование""",Москва,26788.88393,-,-,-,-,26788.88393,245.73816,245.73816,-,-,-,26543.14577,18655.3636,71.23999,30,-,-,724.87637,4.59367,-,16361.91376,1462.73981,413.36621,-,-,-,-,-,-,-,-,388.64844,24.71777,7442.31382,32.10214,-,-,-,-,-,-,-,-
44,0667,"ООО СК ""УРАЛСИБ СТРАХОВАНИЕ""",Москва,484.29307,-,-,-,-,484.29307,-,-,-,-,-,484.29307,468.90858,90.05479,-,-,-,212.03793,-,-,166.81586,-,15.38449,-,-,-,-,-,-,15.02449,-,0.36,-,-,-,-,-,-,-,-,-,-,-
45,1643,"ООО СПК ""Юнити Ре""",Москва,-8545.47842,-,-,-,-,-8545.47842,207.13564,207.13564,-,-,-,-8752.61406,-9567.93243,24.05124,8.7234,-,-208.7408,197.23352,-,-,-10061.94602,472.74623,165.05288,-0.684,-0.684,-,-,337.0372,-,-,-,-171.30032,-,-,650.26549,-,-,-,-,-,-,-,-
46,0397,"ООО Страховая Компания  ""Гелиос""",Москва,103173.30435,-,-,-,-,97090.679,3707.41216,3707.41216,-,-,-,93383.26684,93379.80008,-,-,-,-,-,-,-,93379.80008,-,3.46676,-,-,-,-,-,-,-,-,3.46676,-,-,-,-,-,-,6082.62535,-,-,6082.62535,-
47,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,294981.56848,-,-,-,-,202681.64748,11465.12278,11465.12278,-,-,-,191216.5247,167942.89691,34298.22034,-,3752.86485,6.67082,18357.05737,1200.58511,-,106251.2518,4076.24662,6449.61151,24.70356,24.70356,-,50.67151,-,9.03825,2353.33326,42.00393,3969.861,-,16357.20567,466.81061,-,-,-,92299.921,-,44691.58192,47608.33908,-
48,0001,"ПАО СК ""Росгосстрах""",Люберцы,756305.88821,-,-,-,-,213327.2988,1010.75437,-3.3224,-,-,1014.07677,212316.54443,167853.43307,147.12555,24.51978,-15766.25327,211.17826,8455.89246,-,-,174748.52236,32.44793,26299.29768,74.12798,74.12798,-,-,-1692.75753,6467.45224,1465.57046,18251.37111,1733.53342,-,18163.81368,-,-,-,-,542978.58941,-,294639.63093,248338.95848,-
49,0621,"САО ""ВСК""",Москва,1319835.45965,0,0,0,0,995683.96647,84411.54813,84323.52907,0,0,88.01906,911272.41834,842520.97571,38244.22656,1236.3204,122746.63947,12246.30776,20614.32834,13350.84417,26.39862,632536.68795,1545.62106,67839.5199,88.44593,88.44593,0,408.42788,24806.10082,571.16853,11815.70876,1027.31985,29122.34813,0,1191.42799,-279.50526,0,0,0,324151.49318,0,169543.92818,154607.565,0
50,0348,"САО ""ЛЕКСГАРАНТ""",Москва,43678.43953,-,-,-,-,43678.43953,132.24831,132.24831,-,-,-,43546.19122,15546.03128,-,-,15546.03128,-,-,-,-,-,-,28000.15994,-,-,-,-,24928.5228,-,-,-,3071.63714,-,-,-,-,-,-,-,-,-,-,-
51,0177,САО ЭРГО,Москва,958.8582,-,-,-,-,1729.22204,-,-,-,-,-,1729.22204,1316.20275,-,-,-,-,-,-,-,1310.77814,5.42461,-4.40448,-,-,-,-,-,-,-,-,-4.40448,-,417.42377,-,-,-,-,-770.36384,-,-,-770.36384,-
52,0928,"СПАО ""Ингосстрах""",Москва,5212521.16826,-,-,-,-,4466352.10589,95733.56595,32317.59836,-,-,63415.96759,4370618.53994,3336285.84688,54314.85189,150.41734,623516.46329,178619.64573,92678.86498,22611.44841,-,2364394.15524,-,794227.25872,-5812.82502,-5812.82502,-,-,686427.87389,5212.64216,9711.16996,26877.37283,71811.0249,-,400,239705.43434,-,-,-,746169.06237,-,374592.16588,371576.89649,-
53,1209,"СПАО ""РЕСО-Гарантия""",Москва,1067542.49451,-,-,-,-,409429.35579,113175.46394,2813.44335,-,-,110362.02059,296253.89185,252486.87358,23204.33367,169.38947,2984.70782,2321.69166,36763.92679,1575.7907,-,161588.18044,23878.85303,17692.7128,494.41233,494.41233,-,-,-,-,8010.05378,154.99043,9033.25626,-,25733.17234,341.13313,-,-,-,658113.13872,-,367267.59536,290845.54336,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в том числе,,,,27237975.10861,0,0,0,0,22313470.39988,1097249.50424,702329.36414,0,0,394920.1401,21216220.89564,17818396.90239,2184762.3343,17039.52259,1894788.50257,399770.96347,1160980.01426,178216.79199,1432.49185,11879090.40813,103748.36508,2345314.42156,27472.2397,-3038.04922,21184.61895,499.84839,505455.0624,120415.8622,28099.88053,582273.76182,795673.33494,285424.43158,403109.57412,649399.99757,0,0,0,4924504.70873,0,2552510.605,2371994.10373,0
на территории Российской Федерации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
из-за пределов территории Российской Федерации,,,,16188637.639,0,0,0,0,16188637.639,408192.26092,214394.90967,0,0,193797.35125,15780445.37808,12266850.49349,243420.5562,11102.6003,914727.31688,255284.85333,301102.04277,496309.04264,0,10041812.09832,3091.98305,1966249.36729,65982.30681,21941.42598,3212.15684,0,1061576.09846,6394.05777,55499.8588,37092.18149,726832.12676,12872.7372,887019.47261,660326.04469,0,0,0,0,0,0,0,0
