,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих 
опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
3,3290,  АДВАНТ-СТРАХОВАНИЕ,Санкт-Петербург,57793,1865,0,0,0,0,57793,31374,5037,0,0,26337,26419,23214,19826,0,0,50,186,0,0,2195,957,667,0,0,0,0,0,202,171,0,0,31,0,18,447,0,0,2538,0,0,0,0,0,0,0,0
4,585,  АДОНИС,Пермь,250246,0,0,0,0,0,109943,20790,12403,0,0,8387,89153,88486,35599,0,0,130,486,917,0,15907,35447,626,0,0,0,0,0,423,423,0,0,0,0,0,203,0,0,41,0,0,0,140303,133997,1758,4548,0
5,3947,  АИГ СТРАХОВАЯ КОМПАНИЯ,Москва,928421,0,0,0,0,0,925076,5061,5061,0,0,0,920015,481133,0,0,0,0,107025,0,0,345221,28887,284377,0,0,0,0,0,0,0,0,0,0,0,19829,264548,0,0,154505,0,0,0,3345,0,3345,0,0
6,4210,  АИЖК,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3867,  АК БАРС СТРАХОВАНИЕ,Казань,253636,264,0,0,0,0,253636,62291,61903,0,0,388,191345,184123,22326,0,14303,128,1586,17268,0,15709,112803,7219,0,0,0,0,0,3564,2,0,3121,441,0,1521,2134,0,0,3,0,0,0,0,0,0,0,0
8,3943,  АК БАРС-МЕД,Казань,150954,16839,0,0,0,0,150954,150954,0,0,0,150954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,455,  АКОМС,Холмск,6115,0,0,0,0,0,6115,1381,81,0,0,1300,4734,4709,1255,0,0,1960,1215,0,0,3,276,25,0,0,0,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0
10,3572,  АКЦЕПТ,Люберцы,827542,0,0,0,0,0,827542,45970,45970,0,0,0,781572,781572,781572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3859,  АЛЛЕГА,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,31025731,580178,0,0,0,0,24455580,7554183,2728365,0,0,4825818,16901397,12961816,6417585,30410,558296,126237,181087,380795,339714,3525775,1741631,1508416,387922,901,0,347508,39513,453549,437313,0,0,16236,64386,38386,551672,12501,696389,1734776,0,0,0,6570151,6272934,201120,96097,0
