(кроме средств железнодорожного транспорта)",владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,"средств наземного транспорта 
(кроме средств железнодорожного транспорта)",средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
207,3983,  СТЕРХ,Якутск,161986,0,0,0,0,0,9092,2318,2312,0,0,6,6774,6774,1114,0,0,0,0,0,0,103,5557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152894,152654,0,240,0
208,3229,  СТРАХОВАЯ БИЗНЕС ГРУППА,Воронеж,106978,0,0,0,0,0,20335,19218,374,0,0,18844,1117,756,487,0,0,0,0,0,0,269,0,361,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,86643,73390,0,13253,0
209,574,  СТРАХОВАЯ КОМПАНИЯ ЕКАТЕРИНБУРГ,Екатеринбург,68321,594,0,0,0,0,68321,18731,168,0,0,18563,49590,49492,47862,0,0,0,0,0,0,292,1338,57,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,41,0,0,0,0,0,0,0,0
210,4104,  СТРАХОВАЯ КОМПАНИЯ КАРДИФ,Москва,136618,0,0,0,0,0,132887,107254,107254,0,0,0,25633,21427,15352,0,0,0,0,0,0,0,6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4206,0,0,0,0,0,0,0,0
211,3857,  СТРАХОВАЯ КОМПАНИЯ ОПОРА ПРАВОПОРЯДКА,Москва,2373,0,0,0,0,0,2311,859,11,0,0,848,1452,979,979,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,62,0,0,62,0
212,2359,  СТРАХОВАЯ КОМПАНИЯ УСПЕХ,Москва,10941,0,0,0,0,0,10941,10908,0,0,0,10908,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,3969,  СТРАХОВАЯ КОМПАНИЯ ЧАББ,Москва,35470,4172,0,0,0,0,35470,26430,26430,0,0,0,9040,4482,0,0,0,0,4351,0,0,48,83,4151,0,0,0,0,0,0,0,0,0,0,0,148,4003,0,407,0,0,0,0,0,0,0,0,0
214,3928,  СТРАХОВЫЕ ИНВЕСТИЦИИ,Уфа,1005,0,0,0,0,0,1005,1005,3,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1149,  СТРИЖ,Ижевск,807,0,0,0,0,0,807,807,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,3127,  СУРГУТНЕФТЕГАЗ,Сургут,303520,0,0,0,0,0,229571,39558,7160,0,0,32398,190013,185899,58967,0,17496,0,5119,0,0,96744,7573,3704,0,0,0,0,0,82,82,0,0,0,0,3040,582,0,0,410,0,0,0,73555,73495,0,60,0
217,1587,  ТАЛИСМАН,Казань,182814,0,0,0,0,0,9971,513,513,0,0,0,9458,9458,9325,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172843,172843,0,0,0
218,191,  ТИНЬКОФФ СТРАХОВАНИЕ,Москва,74817,0,0,0,0,0,58412,18797,18797,0,0,0,39615,38959,36489,0,0,0,0,0,0,0,2470,299,0,0,0,0,0,233,233,0,0,0,0,0,66,0,0,357,0,0,0,16405,16405,0,0,0
219,1182,  ТИТ,Москва,33630,0,0,0,0,0,33630,25682,3945,0,0,21737,7948,7882,7882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
220,1688,  ТРАНСНАЦИОНАЛЬНАЯ СК,Королев,7143,0,0,0,0,0,7143,1176,53,0,0,1123,5967,5899,4954,0,0,0,723,0,0,22,200,68,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
221,1623,  ТЮМЕНЬ-ПОЛИС,Тюмень,7934,0,0,0,0,0,7934,2390,2390,0,0,0,5544,5544,5533,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,3313,  УГМК-МЕДИЦИНА,Екатеринбург,73727,10458,0,0,0,0,73727,73727,0,0,0,73727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,1457,  УРАЛ-РЕЦЕПТ М,Екатеринбург,817,0,0,0,0,0,817,817,0,0,0,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,983,  УРАЛСИБ,Москва,922421,2099,0,0,0,0,541675,318714,41718,0,0,276996,222961,219305,210837,2990,0,0,1020,0,0,1640,2818,3656,0,0,0,0,0,1302,1302,0,0,0,0,0,2354,0,0,0,0,0,0,380746,376971,371,3404,0
225,3987,  УРАЛСИБ ЖИЗНЬ,Москва,33622,0,26849,24948,6953,1901,6773,6773,6773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,667,  УРАЛСИБ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,161,  ФЕДЕРАЛЬНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,2593,0,0,0,0,0,2593,2593,0,0,0,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,319,  ХОСКА,Хабаровск,142878,431,0,0,0,0,10690,3307,888,0,0,2419,7383,6747,6262,0,0,0,273,0,0,80,132,579,0,0,0,0,0,369,369,0,0,0,0,0,210,0,0,57,0,0,0,132188,132188,0,0,0
229,3507,  ХОУМ КРЕДИТ СТРАХОВАНИЕ,Москва,11608,0,0,0,0,0,11608,4496,4496,0,0,0,7112,6902,0,0,0,0,0,0,0,0,6902,29,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,181,0,0,0,0,0,0,0,0
230,3517,  ЦЕНТРАЛЬНОЕ СО,Мытищи,50817,0,0,0,0,0,27129,1645,728,0,0,917,25484,15461,12083,0,0,0,0,0,0,2022,1356,10023,0,0,0,0,0,0,0,0,0,0,0,0,10023,0,0,0,0,0,0,23688,22325,0,1363,0
231,212,  ЦЮРИХ НАДЕЖНОЕ СТРАХОВАНИЕ,Москва,24776,179,0,0,0,0,24776,0,0,0,0,0,24776,23175,3062,0,0,0,19128,0,0,985,0,1570,0,0,0,0,0,0,0,0,0,0,0,715,855,0,31,0,0,0,0,0,0,0,0,0
232,3998,  ЧАББ ЖИЗНЬ,Москва,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2708,  ЧРЕЗВЫЧАЙНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,415516,0,0,0,0,0,54675,54422,4744,0,0,49678,253,173,0,0,0,0,0,0,0,173,0,80,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,360701,360701,0,140,0,0,140,0
234,552,  ЧУВАШИЯ-МЕД,Чебоксары,12055,0,0,0,0,0,12055,12055,0,0,0,12055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2136,  ЧУВАШСКАЯ МСК,Новочебоксарск,1469,0,0,0,0,0,1469,1469,0,0,0,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1216,  ЧУЛПАН,Альметьевск,249334,0,0,0,0,0,146839,130727,1364,0,0,129363,16112,15901,15283,0,0,0,0,72,0,19,527,211,0,0,0,0,0,211,211,0,0,0,0,0,0,0,0,0,0,0,0,102495,102495,0,0,0
237,4001,  ЧУЛПАН-ЖИЗНЬ,Альметьевск,108532,0,108174,108145,0,29,358,358,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,3957,  ЧУЛПАН-МЕД,Альметьевск,8657,0,0,0,0,0,8657,8657,0,0,0,8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,3543,  ЭКИП,Москва,9766,0,0,0,0,0,9766,2020,0,0,0,2020,7746,7716,7076,0,0,0,0,0,0,0,640,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
240,3815,  ЭКСПРЕСС-СТРАХОВАНИЕ,Санкт-Петербург,130,0,0,0,0,0,130,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
241,1834,  ЭНЕРГОГАРАНТ,Москва,1369076,23006,0,0,0,0,799988,394418,30104,0,0,364314,405570,397636,329547,0,0,0,34977,114,0,25235,7763,7934,0,0,0,0,0,5763,5763,0,0,0,0,0,2171,0,0,0,0,0,0,569088,565155,0,3933,0
242,177,  ЭРГО,Санкт-Петербург,738553,0,0,0,0,0,581181,11993,10773,0,0,1220,569188,548474,526780,0,0,0,2899,0,0,7804,10991,20355,0,0,0,0,0,17479,17479,0,0,0,0,700,2176,0,0,359,0,0,0,141540,141540,0,0,0
243,3879,  ЭРГО ЖИЗНЬ,Москва,62474,931,27691,27691,0,0,34783,34783,34783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,4133,  ЭЧДИАЙ СТРАХОВАНИЕ,Москва,22092,0,0,0,0,0,22092,238,238,0,0,0,21854,21525,0,0,0,0,21525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0
245,3211,  ЮГОРИЯ,Ханты-Мансийск,1205007,0,0,0,0,0,348536,48951,12856,0,0,36095,299585,295341,277124,0,0,0,0,1584,0,284,16349,4242,0,0,0,0,0,179,179,0,0,0,0,223,374,3466,0,2,0,0,0,856471,856471,0,0,0
246,4014,  ЮГОРИЯ-ЖИЗНЬ,Ханты-Мансийск,4964,0,4795,4795,0,0,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,3204,  ЮГОРИЯ-МЕД,Ханты-Мансийск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2243,  ЮЖУРАЛ-АСКО,Челябинск,1134760,0,0,0,0,0,115893,6589,4097,0,0,2492,109304,108356,102211,0,0,0,0,0,0,251,5894,948,0,0,0,0,0,0,0,0,0,0,0,164,784,0,0,0,0,0,0,1018867,1018867,0,0,0
249,92,  ЮЖУРАЛЖАСО,Челябинск,111876,0,0,0,0,0,21307,9256,1272,0,0,7984,12051,11897,9787,0,0,0,59,0,0,112,1939,154,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,90569,90569,0,0,0
250,1643,  ЮНИТИ РЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,1621,  ЯКОРЬ,Москва,115210,0,0,0,0,0,68128,61228,813,0,0,60415,6900,5878,5526,0,0,0,274,0,0,0,78,1022,0,0,0,0,0,0,0,0,0,0,0,0,798,224,0,0,0,0,0,47082,47082,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*В данные включены неидентифицированные на конец I квартала 2017 года суммы фактически осуществленных списаний по инкассо с расчетных счетов страховщика на основании решения суда. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
