,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4210,  АИЖК,Москва,3969,0,0,0,0,0,3969,0,0,0,0,0,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,0,0,0,0,0,0,0,0
7,3867,  АК БАРС СТРАХОВАНИЕ,Казань,219125,195,0,0,0,0,219125,96311,93189,0,0,3122,122814,100240,271,0,9,5,2,7561,0,1280,91112,22289,7,5,0,0,13,0,1,94,22174,0,0,285,0,0,0,0,0,0,0,0
8,3943,  АК БАРС-МЕД,Казань,15249,14698,0,0,0,0,15249,15249,0,0,0,15249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3572,  АКЦЕПТ,Люберцы,25187,0,0,0,0,0,25187,13832,13832,0,0,0,11355,11355,11355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3859,  АЛЛЕГА,Симферополь,102,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,14613946,236,0,0,0,0,12346286,3479278,3309118,0,0,170160,8867008,5980755,192934,642,169,353,420,284,41,16306,5769647,2225837,57675,35664,22011,0,177,484,122,630,2164480,2269,590,659826,0,0,0,2267660,2251608,14833,1219,0
12,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,1260941,703,1234648,1234640,0,8,26293,26293,25459,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,290,  АЛЬЯНС,Москва,438758,1207,0,0,0,0,437496,356224,336455,257,0,19769,81272,13659,1048,174,48,49,194,2,0,1566,10578,2800,715,715,0,0,67,14,13,74,1898,19,59,64754,0,0,0,1262,0,1081,181,0
15,3828,  АЛЬЯНС ЖИЗНЬ,Москва,47246,980,26390,26374,2656,16,20856,20856,15717,0,0,5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2699,  АЛЬЯНС-МЕД,Сызрань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,436,  АМТ СТРАХОВАНИЕ,Москва,462,150,0,0,0,0,462,23,23,0,0,0,439,99,0,0,0,98,1,0,0,0,0,340,0,0,0,0,0,334,0,3,3,0,0,0,0,0,0,0,0,0,0,0
18,66,  АНГАРА,Братск,172063,0,0,0,0,0,63915,58408,54290,0,0,4118,5507,5226,1134,0,0,0,1,0,0,306,3785,239,32,32,0,0,0,0,0,0,207,0,0,42,0,0,0,108148,108148,0,0,0
19,2982,  АНДРОМЕДА,Москва,350,0,0,0,0,0,350,0,0,0,0,0,350,179,0,0,0,0,0,0,0,179,0,171,1,1,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0
20,1858,  АРМЕЕЦ,Москва,209965,19550,0,0,0,0,65060,49645,30458,0,0,19187,15415,12601,1946,0,3,3,1,0,0,333,10315,2799,8,8,0,0,18,0,3,388,2382,0,0,15,0,0,0,144905,144905,0,0,0
21,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3193,  АРСЕНАЛЪ,Москва,158490,0,0,0,0,0,158490,53396,45236,0,0,8160,105094,3505,0,0,24,20,29,0,0,1327,2105,8399,0,0,0,0,26,87,2,0,4271,4013,0,93190,0,0,0,0,0,0,0,0
