1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
46,2496,"ООО ""Абсолют Страхование""",Москва,5090229.46609,-,-,-,-,5048809.34803,2610146.14488,1451245.43927,13377.52995,-,1158900.70561,2438663.20315,2056510.30308,581335.32801,637.43655,-,166280.7824,433064.49861,85204.29374,85204.29374,566139.4703,223848.49347,274047.71683,3381.85407,-,-,69705.49794,-,96670.34843,104290.01639,-,17674.29708,90430.88616,-,-,-,41420.11806,27625.55225,4533.41637,9261.14944,-
47,3867,"ООО ""АК БАРС СТРАХОВАНИЕ""",Казань,689143.20887,-,-,-,-,689143.20887,184539.66462,183453.9286,-,-,1085.73602,504603.54425,467785.9684,13026.46942,-,9202.55184,55.08,48.791,27446.02638,-,32197.92741,385809.12235,36743.81851,7.2,-,4931.33693,-,-,140.405,31664.87658,-,-,73.75734,-,-,-,-,-,-,-,-
48,3447,"ООО ""АльфаСтрахование-Жизнь""",Москва,82950344.79165,82451794.99604,82451769.69661,33395019.29659,25.29943,498549.79561,498549.79561,250774.91579,-,-,247774.87982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,0436,"ООО ""АМТ Страхование""",Москва,85342.90877,-,-,-,-,85342.90877,4469.68708,4469.68708,-,-,-,80873.22169,32732.2341,-,-,-,30650.78636,312.94774,-,-,1768.5,-,48140.98759,-,-,-,48065.78934,-,-,75.19825,-,-,-,-,-,-,-,-,-,-,-
50,4334,"ООО ""Атрадиус Рус Кредитное Страхование""",Москва,1939627.54456,-,-,-,-,1939627.54456,-,-,-,-,-,1939627.54456,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1939627.54456,-,-,-,-,-,-,-,-,-
51,3487,"ООО ""БИН Страхование""",Москва,749.65425,-,-,-,-,749.65425,319.54613,319.54613,-,-,-,430.10812,432.08248,-,-,-,-,-,-,-,-,432.08248,-10.2818,-,-,-,-,-,-,10.39886,-20.68066,-,8.30744,-,-,-,-,-,-,-,-
52,3799,"ООО ""БСД""",Москва,709755.69599,-,-,-,-,709755.69599,170846.65307,1208.30451,-,-,169638.34856,538909.04292,85028.81469,13998.74185,-,-,-,7079.29105,-,-,60867.52762,3083.25417,416102.63916,268.32364,-,-,-,-,130.4,411575.77279,4128.14273,37777.58907,-,-,-,-,-,-,-,-,-
53,3826,"ООО ""Вита-страхование""",Сургут,131226.34587,129247.24766,129174.2862,17.32567,72.96146,1979.09821,1979.09821,1979.09821,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,3866,"ООО ""ВСК-Линия жизни""",Москва,4342409.94184,4340771.94184,4340771.94184,-,-,1638,1638,-,-,-,1638,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,1083,"ООО ""Зетта Страхование""",Москва,5518080.51021,-,-,-,-,4445906.78233,681004.95161,537646.91014,-,-,143358.04147,3764901.83072,3336796.54584,2472127.37552,441.65975,-,-,39884.76633,9907.28525,-,224695.18252,589740.27647,344107.69712,164512.36871,-,-,-,11219.22361,12261.54596,154486.83339,1627.72545,302.5404,83695.04736,-,-,-,1072173.72788,1014930.67471,22095.31415,35147.73902,-
57,3984,"ООО ""Капитал Лайф Страхование Жизни""",Москва,20877076.97108,18164251.4693,18022585.78729,989079.91452,141665.68201,2712825.50178,2712825.50178,2333083.01254,-,-,379742.48924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,4209,"ООО ""Кофас Рус Страховая Компания""",Москва,486434.46971,-,-,-,-,486434.46971,-,-,-,-,-,486434.46971,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,486434.46971,-,-,-,-,-,-,-,-,-
59,4326,"ООО ""КПСК""",Симферополь,210570.98782,-,-,-,-,210570.98782,112197.59981,8180.22074,-,-,104017.37907,98373.38801,84188.7278,16240.84064,-,-,12743.55344,-,96.68434,-,40120.07442,14987.57496,11837.66021,-,-,309.11941,8562.92777,24,-,2941.61303,-,2347,-,-,-,-,-,-,-,-,-
60,4189,"ООО ""Кредендо – Ингосстрах Кредитное Страхование""",Москва,1142430.02854,-,-,-,-,1142430.02854,-,-,-,-,-,1142430.02854,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1142430.02854,-,-,-,-,-,-,-,-,-
61,4013,"ООО ""МАКС-Жизнь""",Москва,2631081.05092,2631081.05092,2631081.05092,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,3594,"ООО ""МСГ""",Москва,87602.00667,-,-,-,-,87602.00667,87602.00667,36920.79167,-,-,50681.215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,3128,"ООО ""МСК ""АйАйСи""",Москва,127652.70501,-,-,-,-,127652.70501,55070.17,-,-,-,55070.17,72582.53501,72525.94751,206.4,-,-,-,-,-,-,-,72319.54751,56.5875,-,-,-,-,-,-,-,56.5875,-,-,-,-,-,-,-,-,-,-
65,4008,"ООО ""ОСЖ РЕСО-Гарантия""",Москва,757960.97706,749733.09778,749733.09778,-,-,8227.87928,8227.87928,8227.87928,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,3609,"ООО ""ППФ Страхование жизни""",Москва,4346447.52498,4252498.67007,3732802.58776,-,519696.08231,93948.85491,93948.85491,87874.93991,-,-,6073.915,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
