1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
69,4326,"ООО ""КПСК""",Симферополь,350486268.10389,0,0,0,0,0,350486268.10389,15175047.59819,2999012.59819,0,0,12176035,335311220.5057,254710808.47346,885441.31609,11077099.50725,848193.8364,67055079.33152,0,0,0,169531099.99539,5313894.48681,79592417.90327,0,0,0,0,1003570.636,72678950.81,6000,300,5408527.77357,495068.6837,987500,20494.12897,0,0,0,0,0,0,0,0
70,4189,"ООО ""Кредендо – Ингосстрах Кредитное Страхование""",Москва,291733406.84845,12900226.985,0,0,0,0,291733406.84845,0,0,0,0,0,291733406.84845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291733406.84845,0,0,0,0,0,0,0,0,0
71,4013,"ООО ""МАКС-Жизнь""",Москва,83341130.24392,167302.46349,83341130.24392,83341130.24392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28459977.36116
72,3594,"ООО ""МСГ""",Москва,22932882.71465,2533050,0,0,0,0,22932882.71465,15446868.09802,12883598.09802,0,0,2563270,7486014.61663,0,0,0,0,0,0,0,0,0,0,7486014.61663,0,0,0,0,0,0,0,0,0,7486014.61663,0,0,0,0,0,0,0,0,0,0
73,3128,"ООО ""МСК ""АйАйСи""",Москва,1447842.6,1436700,0,0,0,0,1447842.6,1436800,100,0,0,1436700,11042.6,1042.6,0,0,0,0,0,0,0,0,1042.6,10000,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0
74,2031,"ООО ""МСК ""ИНКО-МЕД""",Воронеж,3819.48,0,0,0,0,0,3819.48,3819.48,0,0,0,3819.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,4008,"ООО ""ОСЖ РЕСО-Гарантия""",Москва,32825053.58801,10881.82292,7561393.16819,7561393.16819,0,0,25263660.41982,25263660.41982,25263660.41982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760057.13535
76,3609,"ООО ""ППФ Страхование жизни""",Москва,152683327.31104,0,133021794.37904,124314950.87504,0,8706843.504,19661532.932,19661532.932,15313032.932,0,0,4348500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215691.085
77,3438,"ООО ""ПРОМИНСТРАХ""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3943,"ООО ""СК ""АК БАРС-Мед""",Казань,17670299.50941,1577111.19126,0,0,0,0,17670299.50941,17670299.50941,0,0,0,17670299.50941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
