1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
104,3954,"ООО РСО ""ЕВРОИНС""",Смоленск,731060.50577,-,-,-,-,656657.00382,241089.52006,95464.39368,-,-,145625.12638,415567.48376,360411.45134,60492.22827,-,-,41291.5801,111899.93984,19201.47316,16305.13581,114401.89308,13124.33689,51969.11865,562.27604,-,-,9458.1591,-,13107.48084,28709.80267,131.4,15.65065,3171.26312,-,-,-,74403.50195,74403.50195,-,-,-
105,3828,"ООО СК ""Альянс Жизнь""",Москва,711615.18478,325215.25323,325214.69781,-,0.55542,386399.93155,386399.93155,20031.57233,-,-,366368.35922,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,3767,"ООО СК ""АСКОР""",Москва,87331.61255,-,-,-,-,87331.61255,57417.96739,57417.96739,-,-,-,29913.64516,29769.44964,29172.61844,-,-,-,532.72672,-,-,-,64.10448,70.32304,-,-,-,-,-,-,70.32304,-,-,73.87248,-,-,-,-,-,-,-,-
107,3398,"ООО СК ""ВТБ Страхование""",Москва,5336147.03182,-,-,-,-,5336123.46985,3882952.05359,2684090.17728,-,-,1198861.87631,1453171.41626,1048456.69372,125888.09702,-130.37173,-1125.96101,-2.41287,-792.31584,-,-,6981.83866,917637.81949,85832.02341,-0.48,-,-2462.50269,-,21769.08342,487.34537,66038.57731,-,-,318882.69913,-,-,-,23.56197,-,-0.78224,24.34421,-
108,3870,"ООО СК ""ДЕЛО ЖИЗНИ""",Москва,42592.24426,34060.08504,34060.08504,-,-,8532.15922,8532.15922,8532.15922,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,3268,"ООО СК ""Паритет-СК""",Москва,36305.87645,-,-,-,-,21194.85889,6029.48657,516.57719,-,-,5512.90938,15165.37232,4307.34247,1580.46063,-,-,61.4155,64.20821,-,-,1657.94053,943.3176,10787.38044,218.655,-,-,0.8,-,107.64,10451.28544,9,-,70.64941,-,-,-,15111.01756,14882.69829,78.75,149.56927,-
112,3879,"ООО СК ""Росгосстрах Жизнь""",Москва,1206187.70715,1197221.3657,1197221.3657,-,-,8966.34145,8966.34145,5755.54799,-,-,3210.79346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,3692,"ООО СК ""Сбербанк страхование жизни""",Москва,17281381.62472,17036097.52563,17036097.52563,7491617.09471,-,245284.09909,245284.09909,205323.84057,-,-,39960.25852,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,4331,"ООО СК ""Сбербанк страхование""",Москва,8163830.29709,-,-,-,-,8163830.29709,495237.47779,469724.21054,-,-,25513.26725,7668592.8193,7038837.50093,2435.65169,300.28024,-,349.99995,562.33254,10289.10755,7165.45366,314144.23889,6710755.89007,337500.00113,65,-,-,-,938.31728,2454.64366,334042.04019,-,5624.2879,286631.02934,-,-,-,-,-,-,-,-
115,3511,"ООО СК ""Согласие-Вита""",Москва,2184339.93087,2180179.54718,2180179.54718,1845605.04261,-,4160.38369,4160.38369,1622.1794,-,-,2538.20429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
