,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
41,3064,  БОРОВИЦКОЕ СТРАХОВОЕ ОБЩЕСТВО,Москва,1074,0,0,0,0,0,613,214,47,0,0,167,399,248,31,0,0,0,3,0,0,82,132,141,0,0,0,0,0,8,8,0,0,0,0,35,97,1,0,10,0,0,0,461,461,0,0,0
42,3799,  БРИТАНСКИЙ СТРАХОВОЙ ДОМ,Москва,16674,0,0,0,0,0,16674,1007,335,0,0,672,15667,2689,1086,0,0,0,326,0,0,842,435,12832,0,0,0,0,0,408,408,0,0,0,0,5,12409,10,87,59,0,0,0,0,0,0,0,0
43,2664,  ВЕКТОР,Симферополь,49644,0,0,0,0,0,22860,21404,9902,0,0,11502,1456,378,237,0,0,1,0,0,0,96,44,1078,0,0,0,0,0,14,2,0,12,0,0,6,1058,0,0,0,0,0,0,26784,26784,0,0,0
44,3245,  ВЕРНА,Краснодар,13401,0,0,0,0,0,13401,6085,3989,0,0,2096,7316,1651,268,0,0,2,0,23,13,409,949,5665,3,3,0,0,0,0,0,0,0,0,0,441,637,4584,0,0,0,0,0,0,0,0,0,0
45,4170,  ВИС,Махачкала,224,0,0,0,0,0,224,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0
46,3561,  ВИТАЛ-ПОЛИС,Москва,1917,0,0,0,0,0,1917,1823,5,0,0,1818,94,84,47,0,0,0,0,0,0,4,33,10,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
47,3826,  ВИТА-СТРАХОВАНИЕ,Сургут,18295,0,2785,2781,16,4,15510,15510,971,0,0,14539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3279,  ВНЕШЭКОНОМСТРАХ,Москва,7926,0,0,0,0,0,7926,1929,638,0,0,1291,5997,2377,2196,0,0,0,1,0,0,61,119,3618,0,0,0,0,0,16,16,0,0,0,0,69,1283,2250,0,2,0,0,0,0,0,0,0,0
49,1440,  ВОЗРОЖДЕНИЕ-КРЕДИТ,Красноярск,13953,0,0,0,0,0,13953,12122,12022,0,0,100,1831,1618,162,0,0,0,0,0,0,62,1394,213,1,1,0,0,0,19,13,0,5,1,1,0,189,3,0,0,0,0,0,0,0,0,0,0
50,3570,  ВОСТОЧНО-СТРАХОВОЙ АЛЬЯНС,Владивосток,3563,0,0,0,0,0,3563,3563,0,0,0,3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,433,  ВОСТСИБЖАСО,Иркутск,48640,0,0,0,0,0,48640,34765,27624,0,0,7141,13875,12856,270,0,0,0,73,0,0,389,12124,1005,0,0,0,0,0,3,3,0,0,0,0,0,1002,0,0,14,0,0,0,0,0,0,0,0
52,621,  ВСК,Москва,6039737,38591,0,0,0,0,3038277,1539109,872120,0,0,666989,1499168,1241751,249814,16,103,2,571,2195,42,48346,940704,246976,0,0,0,0,0,75519,75138,0,371,10,330,543,161660,8924,66,10375,0,0,0,3001460,2968616,27320,5524,0
53,3866,  ВСК-ЛИНИЯ ЖИЗНИ,Москва,4747,0,4742,4685,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
54,3978,  ВСК-МИЛОСЕРДИЕ,Москва,21,0,0,0,0,0,21,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,257,  ВТБ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3398,  ВТБ СТРАХОВАНИЕ,Москва,7369182,0,0,0,0,0,7300007,1738337,1393900,0,0,344437,5561670,3469866,11522,326,107,65,3637,5,0,15684,3438520,611714,66,0,0,66,0,8130,8097,2,24,7,22,1807,592459,9230,44,1480046,1,1,0,69174,64603,4097,474,0
57,3995,  ВТБ СТРАХОВАНИЕ ЖИЗНИ,Москва,33621,56,33537,33533,25068,4,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3780,  ВЫРУЧИМ!,Екатеринбург,54941,0,0,0,0,0,54941,49860,49858,0,0,2,5081,4362,3806,0,0,0,4,0,0,63,489,711,0,0,0,0,0,83,83,0,0,0,0,4,624,0,0,8,0,0,0,0,0,0,0,0
59,630,  ГАЙДЕ,Санкт-Петербург,133346,0,0,0,0,0,71993,48421,28643,0,0,19778,23572,19034,12216,0,0,14,380,0,0,673,5751,3947,0,0,0,0,0,2631,2631,0,0,0,0,14,674,628,0,591,0,0,0,61353,61011,45,297,0
60,3933,  ГАЛА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3908,  ГАЛАКТИКА,Москва,29,0,0,0,0,0,29,0,0,0,0,0,29,29,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4169,  ГАРАНТИЯ ИНВЕСТИЦИЙ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,473,  ГЕВОРСТРАХ,Ярославль,58,0,0,0,0,0,58,0,0,0,0,0,58,57,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,397,  ГЕЛИОС,Москва,678792,0,0,0,0,0,551159,331334,302240,0,0,29094,219825,75427,5021,2,7,22,292,0,0,3026,67057,58246,19,0,0,17,2,18183,18180,0,2,1,11,142,39618,273,0,86152,0,0,0,127633,127041,592,0,0
65,2397,  ГЕОПОЛИС,Москва,17347,0,0,0,0,0,12283,26,26,0,0,0,12257,11080,7864,0,0,0,0,0,0,120,3096,1177,0,0,0,0,0,1084,1084,0,0,0,0,0,93,0,0,0,0,0,0,5064,5064,0,0,0
66,448,  ГЕОПОЛИС,Москва,572,0,519,0,0,519,53,53,7,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2071,  ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ,Санкт-Петербург,313,224,0,0,0,0,313,313,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3678,  ГРАЖДАНСКИЙ СТРАХОВОЙ ДОМ,Москва,469,0,0,0,0,0,469,61,61,0,0,0,408,285,249,0,0,0,0,0,0,24,12,123,5,0,0,0,5,98,98,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
69,2042,  ГРАНТА,Казань,3402,0,0,0,0,0,3402,541,525,0,0,16,2861,2111,1703,0,0,0,1,0,0,123,284,610,0,0,0,0,0,3,3,0,0,0,1,427,179,0,0,140,0,0,0,0,0,0,0,0
70,1284,  ГРУППА РЕНЕССАНС СТРАХОВАНИЕ,Москва,1270081,343,0,0,0,0,738176,419807,104678,0,0,315129,318369,231587,156715,15,0,111,3187,0,0,5390,66169,81210,130,130,0,0,0,57709,57679,0,0,30,9,159,23202,1,0,5572,0,0,0,531905,529505,2329,71,0
