1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
127,3245,"ООО СО ""ВЕРНА""",Краснодар,87451.79341,-,-,-,-,87451.79341,165.72186,165.72186,-,-,-,87286.07155,9154.57598,2141.71957,-,-,-,169.7481,-,-,6823.99232,19.11599,78103.52233,-,-,-,-,-,31.005,-,-,129.8661,77942.65123,-,27.97324,-,-,-,-,-,-,-,-
128,2397,"ООО СО ""Геополис""",Москва,1902.96104,-,-,-,-,1902.96104,-,-,-,-,-,1902.96104,1860.11875,3479.81775,-,-,-,-,-,-,-2397.31851,777.61951,42.84229,-,-,-,-,-,-,-,-,42.84229,-,-,-,-,-,-,-,-,-,-,-
129,1643,"ООО СПК ""Юнити Ре""",Москва,193659.15061,-,-,-,-,193659.15061,106970.94521,-,-,-,106970.94521,86688.2054,86409.06232,-,-,-,1072.60078,-,-,-,85336.46154,-,5.85362,-,-,-,-,-,-,-,-,5.85362,-,-,273.28946,-,-,-,-,-,-,-,-
130,0397,"ООО Страховая Компания  ""Гелиос""",Москва,52214.18848,-,-,-,-,46168.21395,7019.85609,7019.85609,-,-,-,39148.35786,37209.70786,2772.51986,-,149.25,1429.4834,5515.66132,-,-,27092.48732,250.30596,1938.65,-,-,-,-,-,-,-,-,1908.65,30,-,-,-,-,-,6045.97453,-,6045.97453,-,-
131,2243,"ПАО ""АСКО-СТРАХОВАНИЕ""",Челябинск,633354.4918,-,-,-,-,633354.4918,-,-,-,-,-,633354.4918,633354.4918,626362.27932,-,-,-,217.85166,-,-,5650.29767,1124.06315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,755806.7953,-,-,-,-,588518.34718,17104.57524,17104.57524,-,-,-,571413.77194,536949.3651,331170.68044,-,6909.01435,2688.90193,43513.65855,11621.84013,4120.82561,118082.59043,22962.67927,32202.51587,4465.10554,-,-,-,-,-,14134.34739,326.9673,13276.09564,-,1309.27776,952.61321,-,-,-,167288.44812,-,67261.46563,100026.98249,-
133,0001,"ПАО СК ""Росгосстрах""",Люберцы,1026332.30644,-,-,-,-,683297.57917,13889.75769,9223.2276,-,-,4666.53009,669407.82148,426393.89347,5.74248,24961.03014,14762.04733,183370.14694,11133.93924,6749.51347,356.57335,163264.09502,22147.37885,183920.02366,14009.7072,-,14009.7072,-,2622.7248,69897.10927,32962.93607,13278.10896,51149.43736,-,59093.90435,-,-,-,-,343034.72727,-,222465.50759,120569.21968,-
134,0621,"САО ""ВСК""",Москва,5674005.80958,0,0,0,0,5124325.93073,53777.05433,26504.30248,0,0,27272.75185,5070548.8764,4597636.78096,3365510.79465,0,377524.22222,8959.45711,107291.65798,43367.1442,5365.03794,679500.23854,15483.26626,396856.56203,48120.1142,3216.02537,44904.08883,0,36979.12568,4748.33373,58081.52986,41363.45836,13193.48747,194370.51273,1165.30015,74890.23326,0,0,0,549679.87885,0,310132.78164,239547.09721,0
135,0348,"САО ""ЛЕКСГАРАНТ""",Москва,165003.63573,-,-,-,-,165003.63573,1271.30516,1271.30516,-,-,-,163732.33057,80563.92953,6652.95433,-,66698.07782,-,1304.9433,-,-,4545.29283,1362.66125,83019.54869,115.84126,-,-,-,76946.10719,-,-,-,5957.60024,-,-,148.85235,-,-,-,-,-,-,-,-
136,0141,"САО ""Медэкспресс""",Санкт-Петербург,22023.97609,-,-,-,-,22023.97609,3094.32053,2023.25639,-,-,1071.06414,18929.65556,18647.22302,12356.00655,-,-,-,1411.02938,-,-,2577.64858,2302.53851,282.43254,169.11254,169.11254,-,-,-,-,-,-,113.32,-,-,-,-,-,-,-,-,-,-,-
137,2182,"САО ""Надежда""",Красноярск,117728.47243,-,-,-,-,117728.47243,44.31473,44.31473,-,-,-,117684.1577,117321.24417,65082.14108,-,-,87.934,251.35357,-,-,10148.95831,41750.85721,239.7853,-,-,-,-,-,146.2838,-,-,93.5015,-,-,123.12823,-,-,-,-,-,-,-,-
138,0177,САО ЭРГО,Москва,501944.81552,-,-,-,-,501939.50884,28842.64875,28842.64875,-,-,-,473096.86009,307929.50917,16482.75694,-,-,-,38087.05786,-,-,223712.47475,29647.21962,86296.32128,13897.38839,-,13897.38839,-,-,-,-,20448.24176,51950.69113,-,77116.7408,1754.28884,-,-,-,5.30668,-,5.30668,-,-
139,0928,"СПАО ""Ингосстрах""",Москва,11274397.55958,-,-,-,-,10578604.59361,845687.65508,7657.56474,-,-,838030.09034,9732916.93853,7270961.59392,224516.29485,-,982685.3039,364324.06899,516155.96828,-,-,5183279.9579,-,1945874.46549,7027.84584,7027.84584,-,-,827886.42419,272024.34905,-,-,838935.84641,-,-,516080.87912,-,-,-,695792.96597,-,262673.59722,433119.36875,-
140,1209,"СПАО ""РЕСО-Гарантия""",Москва,3706130.86699,-,-,-,-,3487146.33601,1424512.58506,354289.753,-,-,1070222.83206,2062633.75095,1593054.50797,102884.63869,1191.98537,-,222.53695,142234.73675,2313.95669,-,1343519.02646,687.62706,277196.93292,75004.92116,38869.36097,36135.56019,-,-,120.51163,832.46515,89925.48907,109775.32843,1538.21748,191051.3237,1330.98636,-,-,-,218984.53098,-,156630.10419,62354.42679,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
в том числе,,,,27017915.23622,169927.04903,169925.20612,77364.99791,1.84291,21706638.90561,921404.84985,531214.54125,696.04418,0,390190.3086,20785234.05576,17250928.47276,2221454.06949,15171.0342,1763273.9165,287272.14798,1139235.30563,202084.01057,66654.9148,11387088.61139,235349.377,2301113.77758,39937.8327,6850.25402,23638.1216,126.67879,415273.87362,79489.3318,151226.21914,185594.2056,1100197.90006,329267.73587,917642.43303,315549.37239,0,0,0,5141349.28158,0,2441271.36606,2700077.91552,0
на территории Российской Федерации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
за пределы территории Российской Федерации,,,,88474147.22724,995247.12241,995211.88161,328972.76943,35.2408,87477597.34116,7014605.69184,3386979.17532,10688.58335,0,3627626.51652,80462991.64932,56199727.50334,13086691.16423,93846.66863,5068127.29878,914253.01934,2926176.72257,773499.45529,406682.3575,32747983.74218,589149.43232,14208216.77762,315833.11257,53551.50194,221987.22998,0,2434546.32509,520493.87137,313940.62375,640617.43636,4210245.88941,5772539.51907,7226729.74452,2828317.62384,0,0,0,1302.76367,0,1302.76367,0,0
