(кроме средств железнодорожного транспорта)",владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,"средств наземного транспорта 
(кроме средств железнодорожного транспорта)",средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
59,397,  ГЕЛИОС,Москва,12678,0,0,0,0,0,7439,4593,1058,0,0,3535,2846,2499,2338,0,0,0,2,0,0,38,121,54,0,0,0,0,0,26,26,0,0,0,0,1,26,1,0,293,0,0,0,5239,5239,0,0,0
60,448,  ГЕОПОЛИС,Москва,376224,0,360451,0,0,360451,15773,15773,0,0,0,15773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2397,  ГЕОПОЛИС,Москва,5138,0,0,0,0,0,5018,0,0,0,0,0,5018,5013,4996,0,0,0,0,0,0,2,15,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0
62,2071,  ГОРОДСКАЯ СТРАХОВАЯ МЕДИЦИНСКАЯ КОМПАНИЯ,Санкт-Петербург,10032,1,0,0,0,0,10032,10032,0,0,0,10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3678,  ГРАЖДАНСКИЙ СТРАХОВОЙ ДОМ,Москва,120,0,0,0,0,0,120,2,2,0,0,0,118,117,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2042,  ГРАНТА,Казань,1855,0,0,0,0,0,1855,1539,18,0,0,1521,316,309,304,0,0,0,1,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
65,1284,  ГРУППА РЕНЕССАНС СТРАХОВАНИЕ,Москва,286141,23,0,0,0,0,259221,190547,1787,0,0,188760,68674,67818,52613,1,0,21,14519,0,0,237,427,636,71,71,0,0,0,384,377,0,0,7,0,14,167,0,0,220,0,0,0,26920,26914,1,5,0
66,1820,  ГУТА-СТРАХОВАНИЕ,Москва,4982,0,0,0,0,0,1842,339,44,0,0,295,1503,1464,1439,0,1,0,0,2,1,12,10,35,0,0,0,0,0,22,22,0,0,0,0,2,11,0,0,4,0,0,0,3140,3139,0,1,0
67,2214,  ДАЛЬАКФЕС,Владивосток,3925,0,0,0,0,0,719,267,170,0,0,97,452,446,351,0,0,2,1,0,0,62,30,4,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,3206,3206,0,0,0
68,55,  ДАЛЬЖАСО,Хабаровск,5556,0,0,0,0,0,5556,5434,486,0,0,4948,122,121,78,0,0,0,9,0,0,7,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
