,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,"владельцев средств
 воздушного транспорта",владельцев средств водного транспорта,,,,,,,,,,,,,
104,4296,  КООП-РЕСУРС,Вологда,703344,0,0,0,0,0,703344,0,0,0,0,0,703344,703344,12602,0,0,0,0,0,0,685926,4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4209,  КОФАС РУС СТРАХОВАЯ КОМПАНИЯ,Москва,257241566,0,0,0,0,0,257241566,0,0,0,0,0,257241566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257241566,0,0,0,0,0,0,0,0
106,4117,  КРЕДИТ ЕВРОПА ЛАЙФ,Москва,125887483,13359,76391,76391,0,0,125811092,125811092,125811092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,4246,  КРИСТАЛЛ,Краснодар,3106000,0,0,0,0,0,3106000,0,0,0,0,0,3106000,0,0,0,0,0,0,0,0,0,0,3106000,0,0,0,0,0,0,0,0,0,0,0,3106000,0,0,0,0,0,0,0,0,0,0,0
108,3781,  КРК-СТРАХОВАНИЕ,Москва,43213223,0,0,0,0,0,43213223,22268548,6321408,0,0,15947140,20944675,18477568,9020123,0,33804,9604,1664897,0,0,5031215,2717925,2467107,85428,0,0,85428,0,498378,494763,0,3615,0,3785,1409885,469631,0,0,0,0,0,0,0,0,0,0
109,4325,  КРЫММЕДСТРАХ,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4326,  КРЫМСКАЯ ПЕРВАЯ СТРАХОВАЯ КОМПАНИЯ,Симферополь,427317673,0,0,0,0,0,427317673,6117647,677666,0,0,5439981,421200026,415948160,739419,0,600,1868214,98216534,0,0,314765634,357759,4142066,0,0,0,0,0,2153474,0,0,4800,2148674,6000,0,1982592,0,1109800,0,0,0,0,0,0,0,0
111,4337,  КРЫМСКИЙ СТРАХОВОЙ АЛЬЯНС,Красноперекопск,12569610,0,0,0,0,0,12569610,3428630,3376035,0,0,52595,9140980,6016781,1174778,158134,0,50340,265481,0,0,3271291,1096757,3082937,0,0,0,0,0,0,0,0,0,0,0,0,2951037,131900,18700,22562,0,0,0,0,0,0,0
112,4310,  КС СТРАХОВАНИЕ,Саранск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,348,  ЛЕКСГАРАНТ,Москва,604647198,0,0,0,0,0,604647198,533582,393732,0,0,139850,604113616,11940742,291924,0,6888043,0,1715963,0,0,2518388,526424,255810641,253986901,0,0,253986901,0,126600,126600,0,0,0,1500,10000,1217740,467900,0,336362233,0,0,0,0,0,0,0
114,1675,  ЛИБЕРТИ СТРАХОВАНИЕ,Санкт-Петербург,29507818900,5232300,0,0,0,0,1156574900,776815740,84559376,0,0,692256364,379759160,347487711,35499439,98264,0,4479255,120234012,0,0,66251197,120925544,27999209,0,0,0,0,0,11377337,5529281,0,0,5848056,2400,1663727,14850745,105000,3904384,367856,0,0,0,28351244000,3060000,28348184000,0
115,1427,  МАКС,Москва,1929507883503,0,0,0,0,0,8964510351,1473028829,1328743900,0,123915744,144284929,7491481522,7441300790,34929552,649336,6977,313414,3241735,15706612,11025157,6731502740,654950424,33949664,9153063,8395486,0,20261,737316,0,0,0,0,0,7664384,4404883,10189324,2538010,10988777,5242291,0,0,0,1920543373152,27740000,1920515633152,0
116,4013,  МАКС-ЖИЗНЬ,Москва,2088,0,2088,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2226,  МАКС-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,195,  МАСКИ,Иркутск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2877,  МЕГАРУСС-Д,Москва,358001130,0,0,0,0,0,358001130,17262491,16978721,0,0,283770,340738639,338032658,10587643,0,175816,350,13400915,0,0,307699243,6168691,376511,0,0,0,0,0,69070,38910,0,29560,600,0,107290,107723,92428,0,2329470,0,0,0,0,0,0,0
120,797,  МЕД-ГАРАНТ,Балашиха,5118573,0,0,0,0,0,5118573,428598,346753,0,0,81845,4689975,4574251,156257,0,0,0,12504,2765050,2765050,1542730,97710,40449,0,0,0,0,0,1000,1000,0,0,0,0,0,39449,0,0,75275,0,0,0,0,0,0,0
121,660,  МЕДИКА-ВОСТОК,Красноярск,1894,0,0,0,0,0,1894,1894,0,0,0,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1958,  МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ СТРАЖ,Рязань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,484,  МЕДСТРАХ,Москва,43434,0,0,0,0,0,43434,43434,0,0,0,43434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,141,  МЕДЭКСПРЕСС,Санкт-Петербург,164823555,0,0,0,0,0,164823555,159584059,8173369,0,0,151410690,5239496,5001646,926916,0,0,0,1819271,0,0,1319664,935795,237850,0,0,0,0,0,176000,176000,0,0,0,0,0,61850,0,0,0,0,0,0,0,0,0,0
125,3594,  МЕЖДУНАРОДНАЯ СТРАХОВАЯ ГРУППА,Москва,16575425,65000,0,0,0,0,16575425,16343851,16065795,0,0,278056,231574,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,211574,0,0,0,0,0,0,0
126,3256,  МЕТЛАЙФ,Москва,1371659896,0,170920122,170881926,67864158,38196,1200739774,1200739774,789389422,0,0,411350352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,166,  МИЛОСЕРДИЕ И БЛАГОПОЛУЧИЕ,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4349,  МОВС,Санкт-Петербург,382841,0,0,0,0,0,382841,0,0,0,0,0,382841,0,0,0,0,0,0,0,0,0,0,382841,0,0,0,0,0,0,0,0,0,0,0,0,0,382841,0,0,0,0,0,0,0,0,0
129,2950,  МОСКВА-ВОЛГА,Красногорск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2290,  МОСКОВИЯ,Москва,14987794,25140,0,0,0,0,14987794,9376815,9237327,0,0,139488,5610979,3685007,360258,0,0,0,1128678,0,0,1412013,784058,243100,1000,1000,0,0,0,46900,46900,0,0,0,0,0,195200,0,0,1682872,0,0,0,0,0,0,0
131,3128,  МСК АЙАЙСИ,Москва,65363632,0,0,0,0,0,65363632,0,0,0,0,0,65363632,65358997,0,0,0,0,0,0,0,0,65358997,4635,0,0,0,0,0,0,0,0,0,0,0,0,4635,0,0,0,0,0,0,0,0,0,0
132,413,  МСК СТРАЖ,Рязань,148118480,2823379,0,0,0,0,148118480,103116686,82878411,0,0,20238275,45001794,41667798,2848052,0,0,13059,3103316,317053,310135,8589612,26796706,3333996,0,0,0,0,0,109340,109340,0,0,0,0,0,3224656,0,0,0,0,0,0,0,0,0,0
133,2326,  МСК УРАЛСИБ,Климовск,1972500,0,0,0,0,0,1972500,1972500,0,0,0,1972500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,3624,  МСК-МЕДИЦИНА,Краснодар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1447,  НАДЕЖДА,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2182,  НАДЕЖДА,Красноярск,282627935,0,0,0,0,0,282627935,229898396,52043510,0,0,177854886,52729539,34910394,20228949,0,0,38691,2243351,0,0,5934275,6465128,3649062,256415,8940,0,0,247475,2037150,2037150,0,0,0,17400,21640,1288457,28000,0,14170083,0,0,0,0,0,0,0
