1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
81,1182,"ООО ""СК ""ТИТ""",Москва,185313.92221,-,-,-,-,-,185313.92221,90201.22747,12590.75815,-,-,77610.46932,95112.69474,92229.85135,88831.13248,-,1728.05783,-,76.35,-,-,716.06637,878.24467,860.559,301,301,-,-,-,-,-,354,-,205.559,-,2022.28439,-,-,-,-,-,-,-,-,-
82,3987,"АО ""УРАЛСИБ Жизнь""",Москва,3105382.11908,16302.18228,3103027.77628,3096227.24611,32725.60587,6800.53017,2354.3428,2354.3428,2349.5428,-,-,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3025361.4108
83,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,76014.92625,76.97333,-,-,-,-,76014.92625,64264.33043,136.5,-,-,64127.83043,11750.59582,10645.74021,726.89207,-,-,7530.5481,1277.08168,-,-,1111.21836,-,146.7561,146.7561,146.7561,-,-,-,-,-,-,-,-,-,958.09951,-,-,-,-,-,-,-,-,-
84,0212,"АО СК ""Цюрих""",Москва,121503.12154,-,-,-,-,-,121503.12154,499.1611,499.1611,-,-,-,121003.96044,82652.89613,-,-,-,-,15907.07353,-,-,66745.8226,-,12049.19791,-,-,-,-,-,-,-,5977.39718,6071.80073,-,26301.8664,-,-,-,-,-,-,-,-,-,-
85,2682,"ООО ""СК ""ИНСАЙТ""",Красногорск,119574.92084,-,-,-,-,-,119574.92084,16544.25546,1029.349,-,-,15514.90646,103030.66538,100880.02878,100880.02878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2150.6366,-,-,-,-,-,-,-,-,-
86,3748,"АО ""Русский Стандарт Страхование""",Москва,2974454.53812,-,2915055.39131,2915055.39131,-,-,59399.14681,59399.14681,31428.56826,-,-,27970.57855,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2873848.45433
87,2169,"ООО ""СК ""Инертек""",Санкт-Петербург,29.88,-,-,-,-,-,29.88,-,-,-,-,-,29.88,29.88,29.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,4104,"ООО ""СК КАРДИФ""",Москва,556163.13268,-,-,-,-,-,564176.81818,517944.70998,517944.70998,-,-,-,46232.1082,34800.72251,31612.62104,-,-,-,-,-,-,-,3188.10147,79.93884,-,-,-,-,-,-,-,-,79.93884,-,-,11351.44685,-,-,-,-,-,-,-,-,-
89,3128,"ООО ""МСК ""АйАйСи""",Москва,1931.34945,265.014,-,-,-,-,1931.34945,265.014,-,-,-,265.014,1666.33545,1655.34095,-,-,-,-,-,-,-,-,1655.34095,10.9945,-,-,-,-,-,-,-,-,10.9945,-,-,-,-,-,-,-,-,-,-,-,-
90,4382,"НКО ПОВС ""РТ - ВС""",Москва,1000,-,-,-,-,-,1000,-,-,-,-,-,1000,1000,-,-,-,-,-,-,-,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,4379,"НКО ""ПОВСТО""",Екатеринбург,22206.9802,-,-,-,-,-,22206.9802,-,-,-,-,-,22206.9802,20750.7002,-,-,-,-,20750.7002,-,-,-,-,1456.28,-,-,-,-,-,-,-,-,-,1456.28,-,-,-,-,-,-,-,-,-,-,-
