,,,,,,,,,,,,от несчастных случаев и болезней,из него,,медицинское страхование,,Страхование имущества,,,,,,,,,,Страхование гражданской ответственности,,,,,,,,,,,,,,,страхование предпринимательских рисков,страхование финансовых рисков,,,,,,,
,,,,,,,,,,,,,"пациентов, участвующих в клинических исследованиях лекарственного препарата для медицинского применения",работников налоговых органов,,,Всего,в том числе,,,,,,,,,Всего,в том числе:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),"средств 
железнодорожного транспорта",средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,
267,3313,  УГМК-МЕДИЦИНА,Екатеринбург,448804,0,0,0,0,0,448804,448804,0,0,0,448804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,1457,  УРАЛ-РЕЦЕПТ М,Екатеринбург,16367,0,0,0,0,0,16367,16367,0,0,0,16367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,983,  УРАЛСИБ,Москва,1041217703133,12523555,0,0,0,0,2025317885,1395851846,474587294,0,0,921264552,629466039,477688086,65347540,11780130,1393144,0,10084337,745,0,179294784,209787406,74524158,218,0,0,218,0,8266983,8266983,0,0,0,459548,602756,64299676,894977,60300,77193495,0,0,0,1039192385248,45580000,1039146805248,0
270,3987,  УРАЛСИБ ЖИЗНЬ,Москва,108225888,0,53297735,53276364,52217683,21371,54928153,54928153,54928153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,161,  ФЕДЕРАЛЬНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,1261171,0,0,0,0,0,1261171,1261171,263800,0,0,997371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,79,  ФИНРОС,Тула,674630,0,0,0,0,0,674630,6462,6462,0,0,0,668168,316331,0,0,0,0,0,0,0,316296,35,74223,0,0,0,0,0,0,0,0,0,0,0,0,74223,0,0,277614,0,0,0,0,0,0,0
273,3598,  ФЬОРД,Самара,10796649,0,0,0,0,0,10796649,3189556,2784326,0,0,405230,7607093,6725491,2413640,0,0,0,0,0,0,3233119,1078732,602964,0,0,0,0,0,119940,119940,0,0,0,0,189000,294024,0,0,278638,0,0,0,0,0,0,0
274,319,  ХОСКА,Хабаровск,39663540,612314,0,0,0,0,39663540,13433601,4579355,0,0,8854246,26229939,21627674,1414141,0,186500,2270251,1830708,0,0,13540375,2385699,4582256,22940,22940,0,0,0,72160,36000,0,0,36160,0,67913,3761622,657621,0,20009,0,0,0,0,0,0,0
275,3507,  ХОУМ КРЕДИТ СТРАХОВАНИЕ,Москва,219246199,0,0,0,0,0,219246199,152593648,152593648,0,0,0,66652551,41443405,0,0,0,0,76539,0,0,3063608,38303258,24542436,0,0,0,0,0,0,0,0,0,0,0,9299690,15242746,0,0,666710,0,0,0,0,0,0,0
276,3517,  ЦЕНТРАЛЬНОЕ СО,Мытищи,229710648949,0,0,0,0,0,123142301,9969889,8821780,0,0,1148109,113172412,40616184,1471254,0,0,6383404,630639,0,0,30484082,1646805,71874447,8742000,22000,0,0,8720000,0,0,0,0,0,57654,145318,9862913,53066562,80644,601137,0,0,0,229587506648,12420000,229575086648,0
