"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде, в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
0013,"Общество с ограниченной ответственностью ""Страховая компания ""РЕСО-Шанс""",18444000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18444000,0,0,0,0,0,0,0,18444000,0,18444000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0141,"Страховое Акционерное Общество ""Медэкспресс""",104219613.00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101439146.776,3494447.087,0,0,0,3435478,0,58969.087,97944699.689,7757811.934,89000023.255,1186864.5,2780466.22585,2707127.13885,615851.567,615851.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504996.67513,0,0,1504996.67513,586278.89672,0,0,586278.89672,73339.087,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49339.087,0,0,0,0,49339.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0191,"Акционерное общество ""Тинькофф Страхование""",4208582963.2990704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3484716114.8898,3484716114.8898,840027686.086,0,0,0,0,2644688428.8038,0,0,0,0,723866848.40927,604173152.84594,340988130.54726,340988130.54726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263185022.29868,263185022.29868,0,0,39160247.14028,17544800,17544800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21615447.14028,0,0,0,0,21615447.14028,0,0,0,0,0,0,0,0,0,0,0,80533448.42305,56349195.47081,0,24184252.95224,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206,"Акционерное общество ""Страховая Компания ""СОЛИДАРНОСТЬ""",143162561.10145998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50195930.66743,2531973.63326,0,0,0,859595,0,1672378.63326,47663957.03417,1327876.63185,2001678.785,44334401.61732,92966630.43403,23167347.72065,337365.91346,267781.62277,69584.29069,0,2591314.19575,0,0,0,318621.31791,0,0,0,0,0,0,0,0,0,0,0,16903608.1793,0,51001.93502,16852606.24428,3016438.11423,683723.015,47055.579,2285659.52023,69799282.71338,1000,1000,0,0,0,67414650,0,0,0,1100,0,0,1100,124400,0,124400,2229632.71338,1747165.22,0,11000,5000,466467.49338,28500,0,0,0,0,0,0,0,28500,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212,"Акционерное общество Страховая компания ""Турикум""",1659531071.06184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150201.334,150201.334,0,0,0,0,0,150201.334,0,0,0,0,1659380869.72784,1345619825.12694,0,0,0,0,0,0,0,0,523613795.68416,0,0,0,0,0,0,0,0,0,0,0,822006029.44278,0,24270708.15664,797735321.28614,0,0,0,0,118420151.8568,23200000,23200000,0,0,0,0,0,0,0,0,0,0,0,15165386.73337,15165386.73337,0,80054765.12343,1039114.07394,0,0,0,79015651.04949,0,0,0,0,0,0,0,0,0,0,180104453.86721,15236438.87689,0,0,15236438.87689,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0290,"Акционерное общество Страховая компания ""Альянс""",1795668482282.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788507954100.2812,1787743164817.208,0,0,3222000,0,0,1787739942817.208,764789283.07326,764789283.07326,0,0,1424056102.52374,1085409890.00444,3911037.9295,3911037.9295,0,7210883.00681,0,0,0,0,304046822.7811,0,0,0,0,0,0,0,0,0,0,0,748173657.17649,100000,25790905.48846,722282751.68803,22067489.11054,1529033.08265,0,20538456.02789,93153853.74588,30951302.85,30951302.85,0,0,0,1855423.472,0,0,0,239223.91705,0,0,239223.91705,15675669.864,0,15675669.864,44432233.64283,417000,0,0,0,44015233.64283,0,0,0,0,0,0,0,0,0,0,75387776.29633,170104582.47709,0,0,170104582.47709,,,,,,,,,0,4970000,4970000,0,0,0,5731502080,0,0,0,0,0,0,5731502080,0,0,0,0,0,0,0,0,0,0,0
0348,"Страховое акционерное общество ""ЛЕКСГАРАНТ""",108570627.09773001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9234306.28347,145389.13167,0,0,0,115096.85,0,30292.28167,9088917.1518,0,0,9088917.1518,99336320.81426,43105928.85086,7787.00061,7787.00061,0,0,42631306.83,0,0,0,188544.76133,0,0,0,0,0,0,0,0,0,0,0,160242.23625,0,0,160242.23625,118048.02267,0,0,118048.02267,55828807.82,0,0,0,0,0,55671937.83,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,6500,150369.99,0,0,0,0,0,0,0,10000,140369.99,0,401584.1434,384215.753,0,17368.3904,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0397,"Общество с ограниченной ответственностью Страховая Компания ""Гелиос""",214486543.06682998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89371831.88187,44921608.28954,2632.54281,256450,0,0,0,44662525.74673,44450223.59233,0,9948819.42233,34501404.17,125114711.18496,97671402.92441,32769299.16827,32769299.16827,0,0,5650,49406.47323,0,49406.47323,10208250.85831,1617166.9343,1494547.1853,1482847.1853,,11700,,122619.749,122619.749,0,0,0,45823402.8227,0,8603945.5566,37219457.2661,7198226.6676,3746464.58059,167896.57754,3283865.50947,27156902.63476,2428160,2428160,0,0,0,41035,17486965.696,0,17486965.696,9000,0,0,9000,127122.24734,0,127122.24734,7026619.69142,2739524.41266,0,1087100,0,3199995.27876,38000,0,0,0,0,0,0,0,38000,0,0,286405.62579,0,0,286405.62579,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0436,"Общество с ограниченной ответственностью ""АМТ Страхование""",194133187.92872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20894430.51682,20894430.51682,0,0,0,0,0,20894430.51682,0,0,0,0,173238757.4119,79902734.81279,0,0,0,0,0,21793237.8496,64572.696,21728665.1536,8089279.18835,0,0,0,0,0,0,0,0,0,0,0,46169625.50682,0,0,46169625.50682,3850592.26802,0,0,3850592.26802,92958220.89808,0,0,0,0,0,0,86300227.13808,0,86300227.13808,0,0,0,0,0,0,0,6657993.76,0,0,0,0,6657993.76,0,0,0,0,0,0,0,0,0,0,0,377801.70103,0,377801.70103,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0448,"Страховое Акционерное Общество ""Геополис""",6460.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6460.515,0,0,0,0,0,0,0,6460.515,0,0,6460.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0518,"Акционерное общество Страховая компания ""БАСК""",69423348.00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12429080.804,5706797.62204,0,0,0,0,0,5706797.62204,6722283.18196,0,0,6722283.18196,52854267.19781,52047669.04681,3590980.57498,3590980.57498,0,0,0,0,0,0,10721910.43855,0,0,0,0,0,0,0,0,0,0,0,37476683.23528,0,0,37476683.23528,258094.798,238983.555,18955.253,155.99,744900,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742900,0,0,13000,0,729900,0,0,0,0,0,0,0,0,0,0,0,61698.151,0,0,61698.151,,,,,,,,,0,4140000,3745000,245000,20000,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0574,"Общество с ограниченной ответственностью ""Страховая компания Екатеринбург""",31278280.615000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14678074.84508,1381465.78908,0,14300,0,0,0,1367165.78908,13296609.056,137574.02,0,13159035.036,16600205.76992,14683720.00719,1818985.04141,1818985.04141,0,0,0,0,0,0,3092897.28721,0,0,0,0,0,0,0,0,0,0,0,8317521.29,0,0,8317521.29,1454316.38857,0,0,1454316.38857,1700375.66058,127800.75,127800.75,0,0,0,0,0,0,0,0,0,0,0,2050,0,2050,1560024.91058,0,0,0,0,1560024.91058,10500,0,0,0,0,0,0,0,0,10500,0,216110.10215,0,0,216110.10215,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585,"Общество с ограниченной ответственностью ""Страховая фирма ""Адонис""",41338932.626720004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15183250.07382,10018813.77827,169286.81906,0,0,0,0,9849526.95921,5164436.29555,0,278540.09907,4885896.19648,26155682.5529,26032381.5529,8164358.6062,8164358.6062,0,0,0,7406,0,7406,2382583.58539,30222.764,0,0,0,0,0,30222.764,0,0,30222.764,0,3246940.35218,0,0,3246940.35218,12200870.24513,4710349.61835,3779306.59653,3711214.03025,110401,9700,9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100701,0,0,0,0,100701,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,12900,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0621,"Страховое акционерное общество ""ВСК""",1429814240518.6958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730025383.95472,5205794347.13548,2229039141.91225,19802177.2275,1200000,1817234534.35615,0,1138518493.63958,3524231036.81924,0,2323586119.31293,1200644917.50631,10694396384.74116,9683301033.51271,746580872.16909,746580872.16909,0,125872297.93251,101841753.21679,84982269.03687,84982269.03687,0,2949292587.79645,29495154.59147,17538916.36851,5554909.57271,,11984006.7958,,11956238.22296,1357238.34706,0,9794503.01273,804496.86317,4218720773.63509,577400657.49718,1195025478.11908,2446294638.01883,1426515325.13444,1286578461.45951,139936863.67493,0,830177996.96167,53899596.964,53899596.964,0,0,0,45287667.54781,248287126.9171,248287126.9171,0,42031848.76335,554050,0,41477798.76335,20479230.82146,20479230.82146,0,420057717.06295,147584438.20965,7378580,18473450.005,5819999.335,240801249.5133,134808.885,0,0,0,0,0,0,0,7500,127308.885,80407110.18844,100510244.07834,0,0,100510244.07834,,,,,,,,,0,388495000,291230000,27905000,8000000,61360000,1410001323750,27727861275,331887375,27395973900,251883675,46251000,205632675,538358400,5883811650,5878285425,5526225,1125846297000,35410152375,81225615375,88216488450,920994040800,138029609250,111723502500,0
0630,"Акционерное общество ""Страховая компания ГАЙДЕ""",383962412898.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135454650.44304,67016165.05504,0,0,0,0,0,67016165.05504,68438485.388,40544887.288,0,27893598.1,277965831.79446,268744005.47909,61293063.75957,61293063.75957,0,2094962.34495,0,126061.3605,0,126061.3605,125286057.11256,0,0,0,0,0,0,0,0,0,0,0,40142052.94397,0,0,40142052.94397,39801807.95754,21563751.97081,0,18238055.98673,2812537.35717,987000,987000,0,0,0,0,0,0,0,0,0,0,0,83050,0,83050,1409937.35717,0,0,0,0,1409937.35717,332550,0,0,0,0,0,0,0,332550,0,0,6409288.9582,0,0,6409288.9582,,,,,,,,,0,25220000,25220000,0,0,0,383523772416,0,0,0,0,0,0,0,0,0,0,383523772416,0,0,383523772416,0,0,0,0
0667,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""УРАЛСИБ СТРАХОВАНИЕ""",204456369.20352998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61400574.45176,19486987.58817,16990.506,0,0,113998.4,0,19355998.68217,41913586.86359,18803536.86359,20394000,2716050,143055794.75177,131416539.56238,0,0,0,0,0,0,0,0,90194796.42322,0,0,0,0,0,0,0,0,0,0,0,13292058.6827,0,0,13292058.6827,27929684.45646,410333.60067,1178985.8025,26340365.05329,10955303.73296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10395303.73296,0,0,0,0,10395303.73296,560000,0,0,0,0,0,0,0,0,560000,0,683951.45643,120,0,683831.45643,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0796,"Акционерное общество ""Страховая группа АВАНГАРД - ГАРАНТ""",21969193.67602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5290,5290,0,0,0,5290,0,0,0,0,0,0,21963903.67602,21963903.67602,227911.456,227911.456,0,0,0,0,0,0,0,21664889.503,21664889.503,21513635.851,,151253.652,,0,0,0,0,0,71102.71702,0,0,71102.71702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
