1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
191,1580,  СОСЬЕТЕ ЖЕНЕРАЛЬ СТРАХОВАНИЕ,Москва,274475,0,0,0,0,0,274475,17905,17905,0,0,0,256570,72047,72,0,0,0,0,0,0,0,71975,12025,0,0,0,0,0,0,0,0,12025,0,0,172498,0,0,0,0,0,0,0,0
192,4079,  СОСЬЕТЕ ЖЕНЕРАЛЬ СТРАХОВАНИЕ ЖИЗНИ,Москва,272318,0,124858,124858,120519,0,147460,147460,147460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,3528,  СПАСЕНИЕ,Казань,3596,0,0,0,0,0,3596,3596,0,0,0,3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3300,  СПАССКИЕ ВОРОТА,Салехард,386633,2854,0,0,0,0,380220,10223,4066,0,0,6157,369997,369330,224,0,1,9,365840,0,0,505,2751,667,128,128,0,0,1,30,1,56,451,0,0,0,0,0,0,6413,6314,98,1,0
195,2354,  СПАССКИЕ ВОРОТА-М,Москва,9270,0,0,0,0,0,9270,9270,0,0,0,9270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,3983,  СТЕРХ,Якутск,405379,0,0,0,0,0,119206,104523,104418,0,0,105,14683,10819,665,0,68,55,86,43,31,1985,7917,3519,69,59,0,0,28,61,0,229,3124,8,30,315,0,0,0,286173,284839,769,565,0
197,3229,  СТРАХОВАЯ БИЗНЕС ГРУППА,Воронеж,312205,64,0,0,0,0,289158,287214,286875,0,0,339,1944,1121,37,1,9,3,514,0,0,237,320,732,0,0,0,0,18,3,0,275,336,100,0,91,0,0,0,23047,21696,664,687,0
198,574,  СТРАХОВАЯ КОМПАНИЯ ЕКАТЕРИНБУРГ,Екатеринбург,68324,14166,0,0,0,0,68324,51030,10136,0,0,40894,17294,11769,5363,0,0,0,893,0,0,1032,4481,5183,4291,4291,0,0,0,0,0,20,818,54,0,342,0,0,0,0,0,0,0,0
199,4104,  СТРАХОВАЯ КОМПАНИЯ КАРДИФ,Москва,929537,32,0,0,0,0,929537,478663,478663,0,0,0,450874,117782,30661,0,0,0,0,0,0,0,87121,58567,0,0,0,0,0,0,0,0,58567,0,0,274525,0,0,0,0,0,0,0,0
200,3857,  СТРАХОВАЯ КОМПАНИЯ ТРУДОВОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2359,  СТРАХОВАЯ КОМПАНИЯ УСПЕХ,Москва,170,0,0,0,0,0,170,124,6,0,0,118,46,42,7,0,0,0,30,0,0,0,5,4,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,3969,  СТРАХОВАЯ КОМПАНИЯ ЧАББ,Москва,2169,337,0,0,0,0,2169,619,619,160,0,0,1550,342,0,0,0,0,94,0,0,231,17,991,0,0,0,0,0,0,0,342,649,0,216,1,0,0,0,0,0,0,0,0
203,3928,  СТРАХОВЫЕ ИНВЕСТИЦИИ,Уфа,1140,0,0,0,0,0,1140,273,271,0,0,2,867,11,0,0,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,2,0,0,0,854,0,0,0,0,0,0,0,0
204,1149,  СТРИЖ,Ижевск,49,0,0,0,0,0,49,3,0,0,0,3,46,46,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3127,  СУРГУТНЕФТЕГАЗ,Сургут,574263,2450,0,0,0,0,458854,416330,409545,0,0,6785,42524,37149,3680,0,18,4,761,0,0,2463,30223,2803,22,22,0,0,16,14,28,142,2558,23,9,2563,0,0,0,115409,113936,1389,84,0
206,1587,  ТАЛИСМАН,Казань,121896,0,0,0,0,0,10598,7902,7902,0,0,0,2696,2110,1112,0,3,0,0,19,15,94,882,496,0,0,0,0,3,0,0,3,490,0,0,90,0,0,0,111298,111298,0,0,0
207,191,  ТИНЬКОФФ СТРАХОВАНИЕ,Москва,3417241,0,0,0,0,0,3346586,3205068,3205068,0,0,0,141518,98489,54469,0,0,0,0,0,0,2,44018,23569,6580,6580,0,0,0,0,0,0,16989,0,0,19460,0,0,0,70655,70655,0,0,0
