1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
129,4001,"ООО СК ""Чулпан-Жизнь""",Альметьевск,585594.71928,0,584040.36451,581403.51373,0,2636.85078,1554.35477,1554.35477,1554.35477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4365,ООО СК «БКС Страхование жизни»,Москва,3499314.0837,5253.8375,3498243.28968,3498243.28968,675.5331,0,1070.79402,1070.79402,548.652,0,0,522.14202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3352200.10218
131,4133,ООО СК ЭчДиАй Глобал,Москва,1007404.82511,0,0,0,0,0,1007404.82511,4618.97989,4618.97989,0,0,0,1002785.84522,676377.61449,0,0,0,0,244048.65431,0,0,432328.96018,0,248919.66868,127.66065,127.66065,0,0,0,0,0,104952.96234,143839.04569,0,75766.47662,1722.08543,0,0,0,0,0,0,0,0,0
132,0758,"ООО СМК ""АСТРА-МЕТАЛЛ""",Магнитогорск,87264.84497,0,0,0,0,0,87264.84497,87264.84497,0,0,0,87264.84497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,3313,"ООО СМК ""УГМК-Медицина""",Екатеринбург,306622.81795,39466.95,0,0,0,0,306622.81795,306622.81795,0,0,0,306622.81795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,3245,"ООО СО ""ВЕРНА""",Краснодар,808795.57817,0,0,0,0,0,244670.47703,91274.66559,-3192.33582,0,0,94467.00141,153395.81144,128972.57321,57666.57418,0,0,650.41925,950.98383,43517.34986,43381.28986,19564.18781,6623.05828,21347.93298,489.08951,489.08951,0,0,505.70666,878.90646,0,3911.74952,3474.87569,12087.60514,0,3075.30525,0,0,0,567042.37814,567042.37814,0,0,0,0
135,2397,"ООО СО ""Геополис""",Москва,29570.36338,0,0,0,0,0,22624.97252,4077.14588,70.9552,0,0,4006.19068,18547.82664,18319.13462,15022.75668,0,0,0,0,0,0,1381.09131,1915.28663,228.69202,188.86047,188.86047,0,0,0,0,0,0,39.83155,0,0,0,0,0,0,6945.39086,6945.39086,0,0,0,0
136,1643,"ООО СПК ""Юнити Ре""",Москва,135922.21129,0,0,0,0,0,135922.21129,135922.01129,0,0,0,135922.01129,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0397,"ООО Страховая Компания ""Гелиос""",Москва,3836973.68848,0,0,0,0,0,1687135.91875,905926.00332,804933.49028,0,0,100992.51304,781209.91543,443740.95101,138196.99923,0,1061.06,837.58363,4952.1825,0,0,181532.8795,117160.24615,319256.03697,77922.90172,77922.90172,0,0,243.96526,656.026,1796.57669,259.41326,232550.08898,5827.06506,0,18212.92745,0,0,0,2128681.11003,2121745.35309,6935.75694,0,0,0
138,2243,"ПАО ""АСКО-СТРАХОВАНИЕ""",Челябинск,11349396.94797,0,0,0,0,0,1064602.14723,169726.60089,72144.31573,0,0,97582.28516,894875.54634,883328.31804,760020.58852,0,0,0,1318.25863,0,0,27818.49213,94170.97876,11547.2283,2203.26527,2203.26527,0,0,0,0,0,861.60535,8482.35768,0,0,0,0,0,0,10284794.80074,10284794.80074,0,0,0,0
139,1834,"ПАО ""САК ""ЭНЕРГОГАРАНТ""",Москва,15217064.85687,212494.00441,0,0,0,0,10859901.30231,3397664.07783,1621758.48552,5536.3675,0,1775905.59231,7462237.22448,6965778.22394,3867913.87037,5114.66116,6168.66239,6789.22315,1092057.1315,177267.29697,157160.45351,1179745.71473,630721.66367,384243.21221,29970.13291,26690.11126,0,355,192.61,16601.29687,22427.47504,11489.25345,299510.75958,3696.68436,13537.94948,98677.83885,0,0,0,4345438.55456,4133459.97993,82817.10435,129161.47028,0,0
140,0001,"ПАО СК ""Росгосстрах""",Люберцы,85286461.32987,11022215.87853,0,0,0,0,59729248.13015,26122019.38556,13934743.21842,1784.851,0,12187276.16714,33607228.74459,29665341.6937,10429784.22091,381967.13857,84070.00485,340936.45266,224508.70999,1535537.07392,1401715.62173,2262305.97079,14406232.12201,1684583.32923,320839.89736,123698.57476,197141.3226,15,80718.63617,201322.90789,266788.76755,40239.89714,767941.92821,6716.29491,107434.73981,2149868.98185,7914.9475,7914.9475,0,25549298.25222,25168058.72944,256530.35836,124709.16442,0,0
141,0621,"САО ""ВСК""",Москва,80829879.20183,2064953.32699,0,0,0,0,58618425.80739,19711584.56134,10557263.38366,3026.20235,0,9154321.17768,38906841.24605,33274106.04583,20090163.78141,84696.2483,871988.81012,259815.07904,1656891.48392,276656.53769,183917.89625,4089497.12334,5944396.98201,1815176.94611,896039.20585,216607.89509,679431.31076,0,23988.88905,106930.02478,123087.05897,86139.71599,576006.9542,2985.09727,57319.77898,3760238.47513,0,0,0,22222968.63202,21725509.70163,308745.66266,188713.26773,0,0
142,0448,"САО ""ГЕОПОЛИС""",Москва,568462.265,0,560700,0,0,560700,7762.265,7762.265,0,0,0,7762.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0348,"САО ""ЛЕКСГАРАНТ""",Москва,311711.8662,0,0,0,0,0,311711.8662,53511.94372,3668.25986,0,0,49843.68386,258199.92248,128873.20444,1376.10797,0,106511.33135,0,11495.88044,0,0,7582.05151,1907.83317,104581.78029,2.505,2.505,0,0,97580.70912,0,0,0,5701.82533,1296.74084,0,24744.93775,0,0,0,0,0,0,0,0,0
144,0141,"САО ""Медэкспресс""",Санкт-Петербург,921176.52491,8358.77968,0,0,0,0,892885.45265,861215.32135,16067.22868,0,0,845148.09267,31670.1313,30915.7468,24757.87411,0,0,0,594.32673,0,0,2699.11206,2864.4339,754.3845,311.66411,311.66411,0,0,0,0,0,0,442.72039,0,0,0,0,0,0,28291.07226,28291.07226,0,0,0,0
145,1209,"САО ""РЕСО-Гарантия""",Москва,108329747.8792,1506335.00421,7083.43642,7083.43642,0,0,69650187.54653,27260563.10411,7198018.54206,8373.44423,0,20062544.56205,42389624.44242,38372333.83572,28286607.00874,150001.65985,5983.61694,1141.31668,892851.30251,14255.28658,0,4129478.0928,4892015.55162,2282347.71679,1008910.08518,672760.46693,336149.61825,177.71787,96.2075,6769.24404,165069.46057,129181.80846,969887.22431,2255.96886,393783.08095,1341159.80896,0,0,0,38672476.89625,38371062.10884,210901.67992,90513.10749,0,0
146,1372,"СМК ""АСТРАМЕД-МС"" (АО)",Екатеринбург,201,0,0,0,0,0,201,201,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0928,"СПАО ""Ингосстрах""",Москва,106539722.95607,4193705.03771,0,0,0,0,80632291.86093,13669064.28329,4112579.07697,75964.89955,0,9556485.20632,66963227.57764,56287983.60131,29583314.26399,83959.17127,1779313.23007,2177834.45405,2343108.70346,37313.50612,0,16040643.46032,4242496.81203,7682867.43674,596647.60185,596647.60185,0,400,870748.27281,1854038.39539,265036.5576,641523.02118,3418419.92437,36053.66354,176966.17517,2815410.36442,0,0,0,25203910.72757,24332577.2343,408367.37851,462966.11476,0,0
в том числе:,,,,993538330.5281501,Х,403545673.68032,402553477.7407,Х,992195.93962,398224652.23405,193162435.64772,171356437.93181,Х,Х,21805997.71591,205062216.58633,178952234.07651,108163771.10436,457.6,60984.35614,79702.47057,26835.0385,146198.29237,0,Х,70474285.21457,7110241.53776,2264497.47339,1051291.96696,1212334.40643,0,8503.00032,70484.95771,Х,Х,4396383.41972,370372.68662,Х,18999740.97206,Х,Х,Х,191768004.61378002,191768004.61378002,Х,Х,Х,Х
по договорам страхования с физическими лицами,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
по договорам страхования с индивидуальными предпринимателями и юридическими лицами,,,,543928409.8085201,Х,26971577.73732,25695959.66952,Х,1275618.0678,466825735.22741,186112133.00795,30953419.31266,184872.07185,17606.59278,155158713.69529,280713602.21946,228330891.36757,67259098.62406,1331564.33847,11324395.47246,6262327.35915,19903179.50244,7931627.00143,6740511.54809,113142520.14571,1176178.92385,28733441.43017,3073263.42855,1722734.95344,1339800.86152,3476.92381,3444582.29171,3281204.83375,1685933.08549,1978391.43557,14975027.93643,291561.49486,15639611.95178,8009657.46994,16866811.599850003,16836759.48135,30052.1185,33264285.24394,28253172.47801,2772397.96483,2238714.8011,Х,Х
"*В данные включены суммы доначисленных страховых премий, по которым нет достоверных данных в связи с более поздним получением первичных учетных документов",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
