1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
111,4293,"ООО ""СК ""Ойлер Гермес Ру""",Москва,138870372.60232,0,0,0,0,0,138870372.60232,0,0,0,0,0,138870372.60232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138870372.60232,0,0,0,0,0,0,0,0
112,3972,"ООО ""СК ""Ренессанс Жизнь""",Москва,188156683.38549,193953.1458,67870903.5627,67870903.5627,59222792.95579,0,120285779.82279,120285779.82279,39655407.25677,0,0,80630372.56602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3492,"ООО ""СК ""РЕСПЕКТ""",Рязань,2841300.22879,0,0,0,0,0,2841300.22879,760.9,0,0,0,760.9,2840539.32879,1694065.09538,0,0,0,0,1293103.44838,0,0,400961.647,0,1146474.23341,0,0,0,0,0,0,0,0,0,1146474.23341,0,0,0,0,0,0,0,0,0
114,0632,"ООО ""СК ""СЕРВИСРЕЗЕРВ""",Ковров,12381947.24885,0,0,0,0,0,12381947.24885,1166018.71,1165360.71,0,0,658,11215928.53885,11172213.53885,10392935.74,0,0,0,26543.5305,0,0,129532.30229,623201.96606,43715,0,0,0,0,0,0,15000,0,28715,0,0,0,0,0,0,0,0,0,0
115,1307,"ООО ""СК ""Согласие""",Москва,192997418920.886,384363159.08093,0,0,0,0,1574792736.88604,606765338.94795,489190466.50194,440000,0,117574872.44601,968027397.93809,532595718.40939,62847220.77909,32890274.34746,10003.68999,3549989.20229,103995432.94268,326198.26799,44783.678,307006766.11629,21969833.0636,405250072.28864,4838175.466,4838175.466,0,0,78956,383153134.0885,355314.402,86885.735,16498475.39913,239131.19801,1277821.5318,28903785.70826,0,0,0,191422626184,24005000,191398621184,0
116,1182,"ООО ""СК ""ТИТ""",Москва,217989242.45697,0,0,0,0,0,217989242.45697,38428829.17059,35765956.17059,0,0,2662873,179560413.28638,28777101.21356,303238.18996,0,2143862.0152,0,685310.50649,0,0,23435022.50018,2209668.00173,135723160.23862,46100,46100,0,0,131221833.21252,0,0,4415227.0261,7500,32500,0,15060151.8342,0,0,0,0,0,0,0
117,3815,"ООО ""СК ""Экспресс-страхование""",Санкт-Петербург,1366863.03591,0,0,0,0,0,1366863.03591,0,0,0,0,0,1366863.03591,0,0,0,0,0,0,0,0,0,0,646311.46193,0,0,0,0,0,0,0,0,566500,79811.46193,0,720551.57398,0,0,0,0,0,0,0
118,3803,"ООО ""СК Доминанта""",Москва,7066966.72704,0,0,0,0,0,7066966.72704,1050,1050,0,0,0,7065916.72704,6234270.89924,0,0,0,0,4213644.28734,0,0,2020626.6119,0,831645.8278,0,0,0,0,0,0,0,10000,821645.8278,0,0,0,0,0,0,0,0,0,0
119,0574,"ООО ""СК Екатеринбург""",Екатеринбург,30660018.92662,367112.666,0,0,0,0,30660018.92662,25122255.76513,627649.72496,0,0,24494606.04017,5537763.16149,5109824.18792,1360211.09234,0,0,0,1264497.65002,0,0,1677821.69031,807293.75525,240346.605,151415,151415,0,0,0,0,0,3400,80031.605,5500,0,187592.36857,0,0,0,0,0,0,0
120,3225,"ООО ""СК ИНТЕРИ""",Москва,9505643.52292,0,0,0,0,0,9505643.52292,0,0,0,0,0,9505643.52292,6453743.52292,6453743.52292,0,0,0,0,0,0,0,0,3051900,3051900,3051900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4104,"ООО ""СК КАРДИФ""",Москва,78196373.91282,9532,0,0,0,0,78196373.91282,35903673.17563,35903673.17563,0,0,0,42292700.73719,12935059.00181,2466363.49767,0,0,0,0,0,0,0,10468695.50414,9887378.41,0,0,0,0,0,0,0,0,9887378.41,0,0,19470263.32538,0,0,0,0,0,0,0
122,2917,"ООО ""СК НИК""",Ульяновск,65815773.11726,0,0,0,0,0,65815773.11726,5132530,660530,0,0,4472000,60683243.11726,3693639.08226,90376.9,0,3340606.94,0,189280.70891,0,0,62421.94335,10952.59,56169067.656,15000,15000,0,0,56116915,0,0,0,37152.656,0,0,820536.379,0,0,0,0,0,0,0
