1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
132,2353,"ООО ""Страховая компания ""СДС"" ",Кемерово,533481.0809,-,-,-,-,219286.53123,188055.29783,44350.60301,-,-,143704.69482,31231.2334,27183.07713,13107.37676,-,-,-,55.4695,-,-,9757.4449,4262.78597,2354.41737,-2.68703,-,-,-,-,-,1752.6844,604.42,1650.4709,43.268,-,-,-,314194.54967,314205.51251,-,-10.96284,-
133,4105,"ООО ""Страховая компания ""СиВ Лайф""",Москва,4307939.41648,4123319.49221,4123319.49221,194304.30939,-,184619.92427,184619.92427,147447.09733,-,-,37172.82694,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,3834,"ООО ""Страховое общество ""Помощь""",Санкт-Петербург,360827.52109,-,-,-,-,360827.52109,131681.116,1830.459,794.053,-,129850.657,229146.40509,31875.67787,2594.47556,-,-,-,1200.89969,-,-,27094.10529,986.19733,165753.7419,-5.4,-,-,-,-,120,159704.53732,5934.60458,-,31516.98532,-,-,-,-,-,-,-,-
136,3127,"ООО ""Страховое общество ""Сургутнефтегаз""",Сургут,784774.6687,-,-,-,-,463448.845,192530.82341,152143.87067,-,-,40386.95274,270918.02159,242366.92835,136736.05648,-,-,-,1441.24727,-,-,65608.89781,38580.72679,22181.98328,-,-,-,42.35,18245.34409,943.6,2916.26245,34.42674,456.31838,5912.79158,-,-,-,321325.8237,316137.39308,975.035,4213.39562,-
137,3928,"ООО ""Страховые инвестиции""",Уфа,2339.05271,-,-,-,-,2339.05271,22.51858,106.86858,-,-,-84.35,2316.53413,1860,-,-,-,-,-,-,-,1860,-,0.195,-,-,-,-,-,-,0.195,-,-,456.33913,-,-,-,-,-,-,-,-
138,0585,"ООО ""СФ ""Адонис""",Пермь,555446.84863,-,-,-,-,239675.43777,94936.64538,68761.01359,-,-,26175.63179,144738.79239,143738.74483,38511.50925,87.72,-,496.94325,3808.20306,1543.13698,-,27839.30792,71451.92437,669.32588,128.27347,-,-,-,-,-,541.05241,-,308.22368,22.498,-,-,-,315771.41086,306361.58713,2769.6265,6640.19723,-
139,1688,"ООО ""ТСК""",Королев,51883.16664,-,-,-,-,51883.16664,7147.79,7147.79,-,-,-,44735.37664,44428.50764,5175.423,-,-,-,7000,-,-,32070.54964,182.535,306.869,102,-,-,-,-,-,204.869,-,-,-,-,-,-,-,-,-,-,-
140,3507,"ООО ""Хоум Кредит Страхование""",Москва,1591432.88577,-,-,-,-,1591432.88577,1373555.64336,1373555.64336,-,-,-,217877.24241,186311.34841,-,-,-,-,-,-,-,-,186311.34841,32077.331,-,-,-,-,-,-,32077.331,-,-,-511.437,-,-,-,-,-,-,-,-
141,4358,ООО «РСХБ-Страхование жизни»,Москва,2226699.60705,2226699.60705,2226699.60705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,2890,ООО ВТБ МС,Москва,83,-,-,-,-,83,83,-,-,-,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,3954,"ООО РСО  ""ЕВРОИНС""",Смоленск,999259.4586,-,-,-,-,664350.86942,257623.91011,47187.83367,-,-,210436.07644,406726.95931,244933.17699,49327.02363,161.623,-,3209.81555,147379.17328,3042.62864,-,26447.25478,15365.65811,50362.07277,64.88685,-,-,1288.19346,-,7675.32367,28545.8406,12787.82819,-,111431.70955,-,-,-,334908.58918,334908.58918,-,-,-
144,3767,"ООО СК ""АСКОР""",Москва,147361.19031,-,-,-,-,147361.19031,114697.50842,114697.50842,-,-,-,32663.68189,27699.36032,19513.03061,-,-,-,787.06064,-,-,84.1679,7315.10117,1368.20613,-63.175,-,-,-,-,-,1431.38113,-,-,3596.11544,-,-,-,-,-,-,-,-
145,3398,"ООО СК ""ВТБ Страхование""",Москва,42003783.71805,-,-,-,-,41850747.80009,29516176.03289,25161786.39984,-,-,4354389.63305,12334571.7672,9539600.86868,432177.20129,15351.97663,320606.56187,65940.60994,344672.75685,-,-,1776420.88747,6584430.87463,968380.67192,74.346,146.29,40007.98885,9972.57111,100.325,154743.50902,761946.39194,1389.25,739.26304,1825850.96356,-,-,-,153035.91796,-,116307.3699,36728.54806,-
146,3870,"ООО СК ""ДЕЛО ЖИЗНИ""",Москва,253812.00916,226784.02165,226784.02165,-,-,27027.98751,27027.98751,27027.98751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,1867,"ООО СК ""Коместра-Томь""",Томск,151663.0637,-,-,-,-,151663.0637,59718.89255,20836.42615,-,-,38882.4664,91944.17115,87608.84072,70195.37684,-,-,-,260.11408,-,-,5371.97511,11781.37469,4335.33043,111.33254,-,-,-,-,155.812,2888.59389,1179.592,-,-,-,-,-,-,-,-,-,-
150,0326,"ООО СК ""Орбита""",Москва,115299.43017,-,-,-,-,115299.43017,7006.5399,3723.1399,-,-,3283.4,108292.89027,35127.38108,2832.77432,-,-,13563.8081,1223.83987,6979.84494,6979.84494,10461.59817,65.51568,41906.93595,0.6,-,-,12898.94086,-,18004.11013,394.37301,10608.91195,20639.161,10619.41224,-,-,-,-,-,-,-,-
151,3268,"ООО СК ""Паритет-СК""",Москва,258758.1601,-,-,-,-,127923.96019,62379.77674,19394.7693,-,-,42985.00744,65544.18345,57590.7741,16598.12854,-,-,-,34661.98309,-,-,5342.72692,987.93555,7404.23925,83.5,-,-,-,-,325.975,6994.76425,-,-,549.1701,-,-,-,130834.19991,128808.91198,273.67,1751.61793,-
153,4331,"ООО СК ""Сбербанк страхование""",Москва,10051192.7003,-,-,-,-,10051192.7003,53165.98994,25873.42207,-,-,27292.56787,9998026.71036,9168803.2321,-,62.6331,-,-,3575.04605,3864.85618,-,277125.5301,8884175.16667,490611.79082,-,-,-,-,-,-,490611.79082,-,42292.48617,296319.20127,-,-,-,-,-,-,-,-
