1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
76,3295,"ООО ""НСГ-""Росэнерго""",Горно-Алтайск,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,3609,"ООО ""ППФ Страхование жизни""",Москва,24622.63274,10706.92046,10706.92046,-,-,13915.71228,13915.71228,13915.71228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,3438,"ООО ""ПРОМИНСТРАХ""",Москва,18709.31665,-,-,-,-,5413.53197,-,-,-,-,-,5413.53197,5413.53197,-,-,-,-,-,-,-,-,5413.53197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13295.78468,-,-,13295.78468,-
79,3568,"ООО ""ПСА""",Сызрань,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,0473,"ООО ""РИКС""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,0066,"ООО ""СК ""Ангара""",Братск,8076.95729,-,-,-,-,8076.95729,-,-,-,-,-,8076.95729,8076.95729,8184.33533,-,-,-,-,-,-,-107.37804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,2042,"ООО ""СК ""Гранта""",Казань .,18804.58572,-,-,-,-,18804.58572,479.952,479.952,-,-,-,18324.63372,18324.63372,17677.6262,-,-,-,-,-,-,647.00752,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,3823,"ООО ""СК ""Ингосстрах-Жизнь""",Москва,48678.72081,-,-,-,-,48678.72081,48678.72081,48678.72081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,2169,"ООО ""СК ""Инертек""",Санкт-Петербург,41.21287,-,-,-,-,41.21287,-,-,-,-,-,41.21287,41.21287,41.21287,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,3645,"ООО ""СК ""Капитал - Лайф""",Москва,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,1336,"ООО ""СК ""Капитал-полис""",Санкт-Петербург,17608.0626,-,-,-,-,17608.0626,-,-,-,-,-,17608.0626,17608.0626,164.3201,-,-,-,17443.7425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,4293,"ООО ""СК ""Ойлер Гермес Ру""",Москва,52049.89459,-,-,-,-,52049.89459,-,-,-,-,-,52049.89459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52049.89459,-,-,-,-,-,-,-,-,-
88,3984,"ООО ""СК ""РГС-Жизнь""",Москва,7714.91549,6566.51747,6566.51747,0.58528,-,1148.39802,1148.39802,1148.39802,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,3972,"ООО ""СК ""Ренессанс Жизнь""",Москва,51468.57053,39162.67501,39162.67501,23106.35442,-,12305.89552,12305.89552,12305.89552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,3492,"ООО ""СК ""РЕСПЕКТ""",Рязань,562.5,-,-,-,-,562.5,562.5,562.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,0632,"ООО ""СК ""СЕРВИСРЕЗЕРВ""",Ковров,957.23135,-,-,-,-,957.23135,120,120,-,-,-,837.23135,837.23135,470.95635,-,-,-,-,-,-,-,366.275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,1307,"ООО ""СК ""Согласие""",Москва,2017319.21133,-,-,-,-,1998957.94409,-,-,-,-,-,1998957.94409,1894541.34678,1864912.12801,-,-,4102.96171,-,14711.603,14107.528,6246.54202,4568.11204,52547.40507,-,-,-,52547.40507,-,-,-,-,-,-,43580.29103,8288.90121,-,-,-,18361.26724,-,-,18361.26724,-
93,3678,"ООО ""СК ""Страховой Дом ЕДИНСТВО""",Москва,451.73336,-,-,-,-,451.73336,-,-,-,-,-,451.73336,451.73336,377.42086,-,-,-,-,-,-,-,74.3125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,1182,"ООО ""СК ""ТИТ""",Москва,19003.34383,-,-,-,-,19003.34383,-,-,-,-,-,19003.34383,18921.44372,-,-,16044.49812,-,-,-,-,1911.49195,965.45365,81.90011,-,-,-,-,-,-,-,-,81.90011,-,-,-,-,-,-,-,-,-,-,-
95,3879,"ООО ""СК ""ЭРГО Жизнь""",Москва,58053.98488,232.43834,232.43834,-,-,57821.54654,57821.54654,57821.54654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,0574,"ООО ""СК Екатеринбург""",Екатеринбург,445.3213,-,-,-,-,445.3213,-,-,-,-,-,445.3213,445.3213,14.61226,-,-,-,-,-,-,50.54704,380.162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,3225,"ООО ""СК ИНТЕРИ""",Москва,3125.53589,-,-,-,-,3125.53589,-,-,-,-,-,3125.53589,3125.53589,3125.53589,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,4104,"ООО ""СК КАРДИФ""",Москва,146.35763,-,-,-,-,146.35763,146.35763,146.35763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,2917,"ООО ""СК НИК""",Ульяновск,2651.64593,-,-,-,-,2651.64593,-,-,-,-,-,2651.64593,1670.38609,1670.38609,-,-,-,-,-,-,-,-,981.25984,-,-,-,-,981.25984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,3825,"ООО ""СК СОГАЗ-ЖИЗНЬ""",Москва,2829.61727,2829.61727,2829.61727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
