,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,"сельско-
хозяйственное страхование - всего",из него,прочего имущества юридических лиц,прочего имущества граждан,,"владельцев средств наземного транспорта 
(кроме средств железнодорожного транспорта)",      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,425,  ИНГВАР,Москва,847,0,0,0,0,0,847,0,0,0,0,0,847,847,0,0,0,0,846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,928,  ИНГОССТРАХ,Москва,3931214,148328,0,0,0,0,3696701,3524018,566,0,0,3523452,172683,167277,159292,204,33,209,2555,7,0,1563,3414,4668,2191,2191,0,25,18,460,13,505,1442,14,3,735,0,0,0,234513,233697,307,509,0
82,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,3619,0,524,249,0,275,3095,3095,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2169,  ИНЕРТЕК,Санкт-Петербург,8,0,0,0,0,0,8,1,1,0,0,0,7,2,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
85,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,8443,107,0,0,0,0,5077,409,311,0,0,98,4668,4510,4436,0,0,0,0,0,0,0,74,74,64,64,0,0,0,0,0,0,10,0,0,84,0,0,0,3366,3366,0,0,0
87,902,  КАЙРОС,Петропавловск-Камчатский,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,31901,355,0,0,0,0,30544,28630,108,0,0,28522,1914,1901,1813,0,0,2,31,0,0,38,17,12,4,4,0,0,0,0,4,0,4,0,0,1,0,0,0,1357,1346,1,10,0
90,3645,  КАПИТАЛ-ЛАЙФ,Москва,191,0,191,172,117,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1336,  КАПИТАЛ-ПОЛИС,Санкт-Петербург,190568,0,0,0,0,0,190568,189208,30,0,0,189178,1360,1331,838,0,0,0,486,0,0,7,0,2,2,2,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
92,2875,  КАПИТАЛ-ПОЛИС МЕДИЦИНА,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,507,  КОЛЫМСКАЯ,Хабаровск,5309,7,3385,3302,0,83,1924,1924,984,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1867,  КОМЕСТРА-ТОМЬ,Томск,9629,0,0,0,0,0,9629,9003,397,0,0,8606,626,611,577,0,0,0,0,0,0,7,27,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
95,3993,  КОМПАНИЯ БАНКОВСКОГО СТРАХОВАН,Москва,388,0,0,0,0,0,388,124,0,0,0,124,264,42,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,1,0,0,221,0,0,0,0,0,0,0,0
96,3059,  КОМПАНИЯ ПРОМЫШЛЕННО-ТОРГОВОГО,Новокузнецк,2,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,4279,  КООПЕРАТИВНОЕ ЕДИНСТВО,Новосибирск,29,0,0,0,0,0,29,0,0,0,0,0,29,29,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,4296,  КООП-РЕСУРС,Вологда,11,0,0,0,0,0,11,0,0,0,0,0,11,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4209,  КОФАС РУС СТРАХОВАЯ КОМПАНИЯ,Москва,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
100,4189,  КРЕДЕНДО-ИНГОССТРАХ КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,70,7,0,0,0,0,70,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
101,4117,  КРЕДИТ ЕВРОПА ЛАЙФ,Москва,191,0,1,1,0,0,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,4246,  КРИСТАЛЛ,Краснодар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3781,  КРК-СТРАХОВАНИЕ,Москва,22974,0,0,0,0,0,22974,20136,22,0,0,20114,2838,2837,2818,0,0,0,0,0,0,9,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,4325,  КРЫММЕДСТРАХ,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4326,  КРЫМСКАЯ ПЕРВАЯ СТРАХОВАЯ КОМПАНИЯ,Симферополь,690,0,0,0,0,0,690,660,10,0,0,650,30,29,24,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,4337,  КРЫМСКИЙ СТРАХОВОЙ АЛЬЯНС,Красноперекопск,948,0,0,0,0,0,948,272,127,0,0,145,676,675,670,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,4310,  КС СТРАХОВАНИЕ,Саранск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,348,  ЛЕКСГАРАНТ,Москва,2403,0,0,0,0,0,2403,33,0,0,0,33,2370,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,0,0,0,0,0,0,0,0
109,1675,  ЛИБЕРТИ СТРАХОВАНИЕ,Санкт-Петербург,46859,84,0,0,0,0,40182,33346,381,0,0,32965,6836,6720,6600,0,0,0,70,0,0,30,20,97,64,64,0,0,0,0,0,3,10,20,0,19,0,0,0,6677,6630,4,43,0
110,1427,  МАКС,Москва,247524,0,0,0,0,0,171449,160455,4567,0,106,155888,10994,10800,9705,0,0,3,1,1,1,279,811,163,116,116,0,0,0,1,0,12,31,3,1,30,8241,8241,0,67834,67615,32,187,0
111,4013,  МАКС-ЖИЗНЬ,Москва,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2226,  МАКС-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,195,  МАСКИ,Иркутск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2877,  МЕГАРУСС-Д,Москва,5410,0,0,0,0,0,2900,96,20,0,0,76,2804,2798,2793,0,0,0,0,0,0,2,3,6,3,2,0,0,0,3,0,0,0,0,0,0,2,2,0,2508,2508,0,0,0
115,660,  МЕДИКА-ВОСТОК,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1958,  МЕДИЦИНСКАЯ СТРАХОВАЯ КОМПАНИЯ СТРАЖ,Рязань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,484,  МЕДСТРАХ,Москва,445,0,0,0,0,0,445,445,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,141,  МЕДЭКСПРЕСС,Санкт-Петербург,47029,0,0,0,0,0,46345,46156,207,0,0,45949,189,189,185,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,684,0,0,0
119,3594,  МЕЖДУНАРОДНАЯ СТРАХОВАЯ ГРУППА,Москва,1941,5,0,0,0,0,1941,1931,1801,0,0,130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
120,3256,  МЕТЛАЙФ,Москва,708384,0,7094,7093,5613,1,701290,701290,5423,0,0,695867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,4349,  МОВС,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3128,  МСК АЙАЙСИ,Москва,23,2,0,0,0,0,23,2,0,0,0,2,21,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,413,  МСК СТРАЖ,Рязань,53349,124,0,0,0,0,27591,26698,808,0,0,25890,893,886,774,0,0,0,1,3,0,28,80,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25758,25758,0,0,0
124,2326,  МСК УРАЛСИБ,Климовск,7,0,0,0,0,0,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3624,  МСК-МЕДИЦИНА,Краснодар,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2182,  НАДЕЖДА,Красноярск,36962,0,0,0,0,0,16924,10930,886,0,0,10044,5994,1577,1454,0,0,0,0,0,0,13,110,69,45,45,0,0,0,0,0,0,24,0,0,4348,0,0,0,20038,20038,0,0,0
127,1447,  НАДЕЖДА,Красноярск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4192,  НАРОДНЫЕ КАССЫ,Москва,139,0,0,0,0,0,139,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
129,3116,  НАСКО ТАТАРСТАН,Казань,34765,0,0,0,0,0,18591,15946,3526,0,0,12420,2645,2446,1121,0,0,0,4,260,0,127,934,148,0,0,0,0,0,0,0,58,90,0,0,51,0,0,0,16174,16147,0,27,0
130,3493,  НАЦИОНАЛЬНЫЕ СТРАХОВЫЕ ТРАДИЦИИ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,3847,  НЕЗАВИСИМАЯ СТРАХОВАЯ ГРУППА,Москва,32831,35,0,0,0,0,32831,32613,1,0,0,32612,218,218,213,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2917,  НИК,Ульяновск,3664,0,0,0,0,0,3664,3579,22,0,0,3557,85,53,45,0,6,0,0,0,0,0,2,11,1,1,0,0,8,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0
133,401,  НИК-ЛАЙФ,Ульяновск,9,0,7,0,0,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,4323,  НКО ОВСС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4354,  НКО ПОВС ВЗАИМОПОМОЩЬ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1961,  НОВЫЙ УРЕНГОЙ,Новый Уренгой,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,3295,  НСГ-РОСЭНЕРГО,Горно-Алтайск,33069,0,0,0,0,0,3340,2987,574,0,0,2413,353,353,341,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29729,29729,0,0,0
138,3010,  ОБЛАСТНАЯ МЕД.СТРАХ. КОМПАНИЯ,Калининград обл.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2346,  ОБЪЕДИНЕННАЯ СТРАХОВАЯ КОМПАНИЯ,Самара,21046,0,0,0,0,0,7212,1594,594,0,0,1000,5618,5515,5361,0,0,2,3,0,0,57,92,103,89,89,0,0,0,0,0,3,11,0,0,0,0,0,0,13834,13825,0,9,0
140,4314,  ОВС ЗАСТРОЙЩИКОВ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,4348,  ОВС МЕД,Тюмень,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,4301,  ОВС НОВС,Камышин,51,0,0,0,0,0,51,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
143,4293,  ОЙЛЕР ГЕРМЕС РУ,Москва,88,0,0,0,0,0,88,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
144,3099,  ОПОРА,Рязань,13410,0,0,0,0,0,7059,4972,283,0,0,4689,2087,2011,1918,0,0,0,1,6,5,14,72,57,13,0,0,0,0,0,0,3,41,0,0,19,0,0,0,6351,6329,0,22,0
145,326,  ОРБИТА,Москва,96,0,0,0,0,0,96,75,0,0,0,75,21,6,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0
146,4008,  ОСЖ РЕСО-ГАРАНТИЯ,Москва,76,2,66,66,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,173,  ПАНАЦЕЯ,Ростов-на-Дону,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,915,  ПАРИ,Москва,41259,0,0,0,0,0,39847,36541,154,0,0,36387,3306,3022,2195,0,0,1,625,0,0,113,88,62,3,3,0,0,0,4,0,15,39,1,0,222,0,0,0,1412,1406,1,5,0
149,3268,  ПАРИТЕТ-СК,Москва,2599,34,0,0,0,0,1332,734,31,0,0,703,598,595,555,0,0,0,1,0,0,10,29,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1267,1267,0,0,0
150,2284,  ПЛАТО,Москва,324,0,0,0,0,0,324,318,307,0,0,11,6,6,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3568,  ПОВОЛЖСКИЙ СТРАХОВОЙ АЛЬЯНС,Сызрань,17296,0,0,0,0,0,1539,547,477,0,0,70,992,983,931,0,0,1,0,0,0,6,45,9,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,15757,15757,0,0,0
152,3390,  ПОЛИС-ГАРАНТ,Москва,6254,0,0,0,0,0,5546,3469,5,0,0,3464,2077,1994,1974,0,0,0,0,0,0,4,16,18,18,18,0,0,0,0,0,0,0,0,0,65,0,0,0,708,708,0,0,0
153,3609,  ППФ СТРАХОВАНИЕ ЖИЗНИ,Москва,11021,0,9552,8065,0,1487,1469,1469,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,3889,  ПРЕСТИЖ-ПОЛИС,Москва,121,0,0,0,0,0,121,48,0,0,0,48,73,73,71,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,3438,  ПРОМИНСТРАХ,Москва,6626,162,0,0,0,0,2324,1268,212,0,0,1056,1056,836,199,0,0,0,0,0,0,32,605,24,0,0,0,0,0,0,0,2,6,16,195,1,0,0,0,4302,4279,0,23,0
156,2682,  ПРОФСОДРУЖЕСТВО,Москва,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,4179,  РАЙФФАЙЗЕН ЛАЙФ,Москва,1048,65,1031,1031,217,0,17,17,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,72,  РЕГИОНАЛЬНАЯ СТРАХОВАЯ КОМПАНИЯ,Москва,931,0,0,0,0,0,931,0,0,0,0,0,931,929,0,0,0,0,0,0,0,0,929,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
159,3621,  РЕГИОНАЛЬНЫЙ СТРАХОВОЙ ЦЕНТР,Москва,74,0,0,0,0,0,74,19,3,0,0,16,55,51,46,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
160,2733,  РЕЗЕРВ,Хабаровск,886,0,0,0,0,0,886,864,864,0,0,0,22,12,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0
161,3972,  РЕНЕССАНС ЖИЗНЬ,Москва,19048,6,16227,16227,8861,0,2821,2821,2116,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1209,  РЕСО-ГАРАНТИЯ,Москва,2637610,47443,587,568,0,19,2381960,2254560,9891,0,0,2244669,127400,116950,111718,5,0,6,69,0,0,763,4389,1354,1240,1049,191,0,0,0,0,7,104,3,6,9090,0,0,0,255063,255008,5,50,0
163,879,  РЕСО-МЕД,Павловский Посад,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,13,  РЕСО-ШАНС,Москва,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3492,  РЕСПЕКТ,Рязань,1561,0,0,0,0,0,1561,172,21,0,0,151,1389,1191,0,0,0,0,0,0,0,1191,0,198,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0
166,473,  РИКС,Москва,2432,0,0,0,0,0,2432,220,0,0,0,220,2212,57,0,0,0,0,0,0,0,0,57,4,0,0,0,0,0,0,0,0,4,0,0,2151,0,0,0,0,0,0,0,0
167,4351,  РНПК,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1,  РОСГОССТРАХ,Люберцы,890275,2080,0,0,0,0,331532,176486,8883,0,0,167603,155046,153046,102060,73,6,117,122,1523,22,1706,47439,1976,929,593,336,0,1,48,0,19,972,7,3,21,13,13,0,558730,558615,39,76,0
169,3984,  РОСГОССТРАХ-ЖИЗНЬ,Москва,85362,0,49051,48508,428,543,36311,36311,36311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3676,  РОСГОССТРАХ-МЕДИЦИНА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,3535,  РОСИНКОР РЕЗЕРВ,Дмитров,508,0,0,0,0,0,508,31,1,0,0,30,477,469,428,0,0,0,0,0,0,41,0,7,1,1,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0
172,2191,  РОСМЕДСТРАХ - К,Курск,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2947,  РСХБ-СТРАХОВАНИЕ,Москва,5073,0,0,0,0,0,5030,3815,3754,0,0,61,1215,1185,760,0,0,0,1,112,57,144,168,5,0,0,0,0,0,0,0,0,5,0,8,17,43,43,0,0,0,0,0,0
174,1999,  РУССКАЯ КОРОНА,Рязань,5,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3748,  РУССКИЙ СТАНДАРТ СТРАХОВАНИЕ,Москва,1610,0,249,249,0,0,1361,1361,713,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,235,  РУССКОЕ ПЕРЕСТРАХОВОЧНОЕ ОБ-ВО,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,4202,  САКЛАУ,Казань,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2873,  САХАМЕДСТРАХ,Якутск,7297,3699,0,0,0,0,7297,7297,0,0,0,7297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,4331,  СБЕРБАНК СТРАХОВАНИЕ,Москва,15467,0,0,0,0,0,15467,6607,165,0,0,6442,8860,7655,0,0,0,0,1,0,0,158,7496,307,0,0,0,0,0,0,0,0,307,0,11,887,0,0,0,0,0,0,0,0
180,3692,  СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ,Москва,30704,0,26955,26955,25198,0,3749,3749,3744,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,924,  СЕЛЕКТА,Москва,3491,0,0,0,0,0,3491,2656,60,0,0,2596,835,749,694,0,0,13,2,0,0,27,13,86,0,0,0,0,0,11,0,0,72,3,0,0,0,0,0,0,0,0,0,0
182,632,  СЕРВИСРЕЗЕРВ,Ковров,14300,0,0,0,0,0,1039,665,627,0,0,38,374,367,352,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13261,13261,0,0,0
183,2353,  СИБИРСКИЙ ДОМ СТРАХОВАНИЯ,Кемерово,63421,0,0,0,0,0,56735,56632,325,0,0,56307,103,56,40,0,0,0,0,0,0,0,16,47,39,39,0,0,0,0,0,0,8,0,0,0,0,0,0,6686,6683,0,3,0
184,3467,  СИБИРСКИЙ СПАС,Новокузнецк,23922,238,0,0,0,0,18892,18407,705,0,0,17702,485,482,468,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5030,5030,0,0,0
185,3270,  СИБИРСКИЙ СПАС-МЕД,Новокузнецк,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,4105,  СИВ ЛАЙФ,Москва,1291,0,992,992,228,0,299,299,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2444,  СИМАЗ-МЕД,Новосибирск,3606,0,0,0,0,0,3606,3606,0,0,0,3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,3803,  СК ДОМИНАНТА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,3225,  СК ЕВРОПЛАН,Москва,3642,0,0,0,0,0,3642,0,0,0,0,0,3642,3625,3625,0,0,0,0,0,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3825,  СК СОГАЗ-ЖИЗНЬ,Москва,2662,0,2529,720,34,1809,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
