,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,"сельско-
хозяйственное страхование - всего",из него,прочего имущества юридических лиц,прочего имущества граждан,,"владельцев средств наземного транспорта 
(кроме средств железнодорожного транспорта)",      из него:,,владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,,"владельцев автотранспортных средств (кроме страхования, осуществляемого в рамках международной системы страхования «Зеленая карта»)","владельцев автотранспортных средств (страхование, осуществляемое в рамках международной системы страхования «Зеленая карта»)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3947,  АИГ СТРАХОВАЯ КОМПАНИЯ,Москва,117,0,0,0,0,0,117,9,9,0,0,0,108,86,8,0,0,0,55,0,0,22,1,19,3,3,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0
6,4210,  АИЖК,Москва,33,0,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
7,3867,  АК БАРС СТРАХОВАНИЕ,Казань,5667,1,0,0,0,0,5667,4019,3993,0,0,26,1648,1600,104,0,0,0,1,342,0,18,1135,46,0,0,0,0,16,0,0,2,28,0,0,2,0,0,0,0,0,0,0,0
8,3943,  АК БАРС-МЕД,Казань,21777,1002,0,0,0,0,21777,21777,0,0,0,21777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3572,  АКЦЕПТ,Люберцы,257,0,0,0,0,0,257,10,10,0,0,0,247,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3859,  АЛЛЕГА,Симферополь,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2239,  АЛЬФАСТРАХОВАНИЕ,Москва,3285415,282,0,0,0,0,3182892,3082635,6886,0,0,3075749,100257,84820,55713,58,35,35,304,19,3,821,27835,2114,1456,994,462,0,164,14,0,38,441,1,14,13309,1,1,0,102522,102348,14,160,0
12,193,  АЛЬФАСТРАХОВАНИЕ - ОМС,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3447,  АЛЬФАСТРАХОВАНИЕ-ЖИЗНЬ,Москва,7063,74,6617,6545,0,72,446,446,94,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,290,  АЛЬЯНС,Москва,18774,70,0,0,0,0,18758,2083,1271,13,0,812,16675,2755,809,59,0,14,1496,67,0,241,69,410,201,170,31,0,4,73,0,1,131,0,18,13492,0,0,0,16,0,0,16,0
15,3828,  АЛЬЯНС ЖИЗНЬ,Москва,209322,20161,1888,1888,134,0,207434,207434,1311,0,0,206123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2699,  АЛЬЯНС-МЕД,Сызрань,2,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,436,  АМТ СТРАХОВАНИЕ,Москва,12,10,0,0,0,0,12,0,0,0,0,0,12,6,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,66,  АНГАРА,Братск,5167,0,0,0,0,0,674,563,470,0,0,93,111,110,82,0,0,0,0,0,0,8,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4493,4493,0,0,0
19,2982,  АНДРОМЕДА,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1858,  АРМЕЕЦ,Москва,16053,317,0,0,0,0,1320,628,214,0,0,414,692,679,586,0,0,1,0,0,0,2,90,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,14733,14733,0,0,0
21,4324,  АРСЕНАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3193,  АРСЕНАЛЪ,Москва,18571,0,0,0,0,0,4604,4377,245,0,0,4132,227,18,0,0,0,1,1,0,0,8,8,72,0,0,0,0,0,0,0,0,45,27,0,137,13967,13967,0,0,0,0,0,0
23,2489,  АСКО,Набережные Челны,16814,134,0,0,0,0,6394,5359,1353,0,0,4006,1035,1014,841,0,0,0,5,18,7,27,123,18,12,12,0,0,0,0,0,1,5,0,0,3,0,0,0,10420,10408,0,12,0
24,3999,  АСКО-ЖИЗНЬ,Набережные Челны,33806,0,33771,33771,0,0,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,278,  АСКОМЕД,Самара,5158,0,0,0,0,0,5158,5158,0,0,0,5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
