,,,,,,,,,,,,,,,,,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,средств воздушного транспорта,средств водного транспорта,грузов,сельскохозяйственное страхование - всего,из него,прочего имущества юридических лиц,прочего имущества граждан,,Перевозчиков,,,,,Иных владельцев (кроме перевозчиков),,,,,"организаций, эксплуатирующих опасные объекты","за причинение вреда вследствие недостатков товаров, работ, услуг",за причинение вреда третьим лицам,за неисполнение или ненадлежащее исполнение обязательств по договору,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"страхование, осуществляемое с государственной поддержкой",,,,Всего,в том числе,,,,Всего,в том числе,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,владельцев средств наземного транспорта (кроме средств железнодорожного транспорта),владельцев средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,средств наземного транспорта (кроме средств железнодорожного транспорта),средств железнодорожного транспорта,владельцев средств воздушного транспорта,владельцев средств водного транспорта,,,,,,,,,,,,,,
85,1947,  ЗАПОЛЯРЬЕ,Салехард,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1083,  ЗЕТТА СТРАХОВАНИЕ,Москва,979250,15084,0,0,0,0,720911,230664,164917,0,0,65747,490247,282921,68969,4,0,0,370,1343,0,3797,208438,113667,0,0,0,0,0,2566,2566,0,0,0,1,79,110973,48,4,93655,0,0,0,258339,254982,2642,715,0
87,3616,  ИНВЕСТ-ПОЛИС,Королев,115,0,0,0,0,0,115,0,0,0,0,0,115,51,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
88,2401,  ИНВЕСТСТРАХ,Москва,20698,0,0,0,0,0,20698,19047,1863,0,0,17184,1651,848,2,0,0,0,2,1,0,124,719,783,0,0,0,0,0,0,0,0,0,0,0,169,578,36,0,20,0,0,0,0,0,0,0,0
89,425,  ИНГВАР,Москва,225,0,0,0,0,0,225,9,9,0,0,0,216,185,0,0,0,0,106,0,0,49,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0
90,928,  ИНГОССТРАХ,Москва,5496682,63993,0,0,0,0,2365449,680024,534504,0,0,145520,1685425,1020296,440129,869,301,906,61457,325,0,47156,469153,614858,437,437,0,0,0,258352,257032,0,392,928,243,1237,354128,461,433,49838,0,0,0,3131233,3106586,19824,4823,0
91,4189,  ИНГОССТРАХ ОНДД КРЕДИТНОЕ СТРАХОВАНИЕ,Москва,77,7,0,0,0,0,77,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
92,3823,  ИНГОССТРАХ-ЖИЗНЬ,Москва,81030,0,7462,6486,0,976,73568,73568,73568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3837,  ИНГОССТРАХ-М,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2169,  ИНЕРТЕК,Санкт-Петербург,296,0,0,0,0,0,296,140,140,0,0,0,156,143,19,0,0,0,23,0,0,86,15,13,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0
95,2031,  ИНКО-МЕД,Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,870,  ИНТАЧ СТРАХОВАНИЕ,Москва,221045,1239,0,0,0,0,178274,77868,75081,0,0,2787,100406,45088,28792,0,0,0,0,0,0,0,16296,24858,0,0,0,0,0,16462,16462,0,0,0,0,0,8396,0,0,30460,0,0,0,42771,42771,0,0,0
97,1858,  ИТИЛЬ АРМЕЕЦ,Москва,222662,5279,0,0,0,0,84212,53843,46618,0,0,7225,30369,26186,4713,0,3,2,6,0,0,341,21121,4161,15,0,0,15,0,13,9,0,4,0,2,158,3973,0,0,22,0,0,0,138450,138450,0,0,0
98,902,  КАЙРОС,Петропавловск-Камчатский,95,0,0,0,0,0,95,26,26,0,0,0,69,21,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,27,0,0,0,0,0,0,0,0
99,2179,  КАПИТАЛ МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3175,  КАПИТАЛ ПЕРЕСТРАХОВАНИЕ,Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1298,  КАПИТАЛ СТРАХОВАНИЕ,Когалым,53504,0,0,0,0,0,12974,942,223,0,0,719,12032,8184,5039,12,6,28,16,0,0,867,2216,3159,0,0,0,0,0,2052,1970,0,17,65,112,0,980,15,41,648,0,0,0,40530,36118,4366,46,0
102,1336,  КАПИТАЛ-ПОЛИС,Санкт-Петербург,35922,0,0,0,0,0,35922,12565,8730,0,0,3835,23357,6572,5979,0,0,0,233,0,0,93,267,1548,0,0,0,0,0,344,344,0,0,0,1,964,239,0,0,15237,0,0,0,0,0,0,0,0
103,2875,  КАПИТАЛ-ПОЛИС МЕДИЦИНА,Санкт-Петербург,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,614,  КАСКО-МЕДИЦИНСКОЕ СТРАХОВАНИЕ,Липецк,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3629,  КЛУВЕР,Саратов,1423,0,0,0,0,0,1423,77,64,0,0,13,1346,1243,1156,0,0,0,0,0,0,76,11,103,0,0,0,0,0,39,39,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
