1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
91,3535,"ООО ""ИНКОР Страхование""",Дмитров,253676.90779,0,0,0,0,0,253676.90779,7978.62726,7480.93126,0,0,497.696,245698.28053,237847.06647,42250.91736,974.119,0,-321,8289.49282,0,0,186043.11821,610.41908,11102.81471,147.3,147.3,0,0,11.34,0,0,3663.958,5847.72588,1432.49083,0,-3251.60065,0,0,0,0,0,0,0,0
92,3993,"ООО ""Компания Банковского Страхования""",Москва,102199.69117,0,0,0,0,0,102199.69117,0,0,0,0,0,102199.69117,12384.83194,0,0,0,0,0,0,0,0,12384.83194,2358.31806,0,0,0,0,0,0,0,0,2358.31806,0,0,87456.54117,0,0,0,0,0,0,0,0
93,4326,"ООО ""КПСК"" ",Симферополь,48857.17694,0,0,0,0,0,48857.17694,4597.71437,1062.04858,0,0,3535.66579,44259.46257,40408.86386,4123.26165,0,0,3450.22496,1868.00354,0,0,30050.84298,916.53073,3325.59871,0,0,0,0,31.68,2696.71988,0,0,597.19883,0,525,0,0,0,0,0,0,0,0,0
94,3059,"ООО ""КПТС""",Новокузнецк,2228.39,0,0,0,0,0,2228.39,2228.39,0,0,0,2228.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4189,"ООО ""Кредендо - Ингосстрах  Кредитное Страхование""",Москва,194499.20479,274.16766,0,0,0,0,194499.20479,0,0,0,0,0,194499.20479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194499.20479,0,0,0,0,0,0,0,0,0
96,3781,"ООО ""КРК-Страхование""",Москва,134190.92694,0,0,0,0,0,134190.92694,27911.1782,1713.23583,0,0,26197.94237,106279.74874,105285.64781,101071.5156,0,0,0,300.84422,0,0,2786.63382,1126.65417,912.46095,499.85795,499.85795,0,0,0,0,0,100.38,312.223,0,0,81.63998,0,0,0,0,0,0,0,0
97,4013,"ООО ""МАКС-Жизнь""",Москва,724293.91545,0,724293.91545,724293.91545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3594,"ООО ""МСГ""",Москва,24377.12978,1413.6,0,0,0,0,24377.12978,24156.03818,18381.08318,0,0,5774.955,221.0916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.0916,0,0,0,0,0,0,0,0
99,3128,"ООО ""МСК ""АйАйСи""",Москва,16873.60786,7219.55,0,0,0,0,16873.60786,7219.55,0,0,0,7219.55,9654.05786,9490.86599,0,0,0,0,0,0,0,0,9490.86599,163.19187,0,0,0,0,0,0,0,0,163.19187,0,0,0,0,0,0,0,0,0,0,0
100,2031,"ООО ""МСК ""ИНКО-МЕД""",Воронеж,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0484,"ООО ""МСК ""МЕДСТРАХ""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,3295,"ООО ""НСГ-""Росэнерго""",Горно-Алтайск,1794698.70244,0,0,0,0,0,243997.82159,136847.56811,124777.11111,0,0,12070.457,107150.25348,106248.00348,102991.42839,0,0,0,133.669,0,0,367.41889,2755.4872,902.25,0,0,0,0,0,0,0,11.8,890.45,0,0,0,0,0,0,1550700.88085,1550700.88085,0,0,0
103,4008,"ООО ""ОСЖ РЕСО-Гарантия""",Москва,1231981.15859,286.89731,1227532.78118,1227532.78118,0,0,4448.37741,4448.37741,4448.37741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3609,"ООО ""ППФ Страхование жизни""",Москва,773474,0,756112,644896,0,111216,17362,17362,16942,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3438,"ООО ""ПРОМИНСТРАХ""",Москва,1182061.43981,2318.28978,0,0,0,0,1156314.51926,10407.35783,3636.81117,0,0,6770.54666,1145907.16143,9135.34468,3693.9862,0,0,0,847.80469,0,0,4329.94073,263.61306,1136247.66166,40.7,40.7,0,0,34.6,0,-0.89874,110,2249.48054,1133813.77986,257.25509,266.9,0,0,0,25746.92055,25614.66027,175.465,-43.20472,0
106,3568,"ООО ""ПСА""",Сызрань,419915.48568,0,0,0,0,0,60814.11632,32666.21283,30273.58183,0,0,2392.631,28147.90349,27003.77371,22708.84585,0,0,0,59.65954,0,0,1080.11415,3155.15417,1144.12978,40.349,40.349,0,0,0,0,0,216.715,887.06578,0,0,0,0,0,0,359101.36936,359101.36936,0,0,0
107,3621,"ООО ""Региональный Страховой Центр""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0473,"ООО ""РИКС""",Москва,56214.30087,0,0,0,0,0,56214.30087,505.98756,165.08756,0,0,340.9,55708.31331,29682.95361,0,0,0,0,1257.89624,0,0,25500,2925.05737,2866.5205,0,0,0,0,0,0,0,0,1426.5205,1440,0,23158.8392,0,0,0,0,0,0,0,0
109,3943,"ООО ""СК ""АК БАРС-Мед""",Казань,136034.85172,3893.9386,0,0,0,0,136034.85172,136034.85172,0,0,0,136034.85172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0066,"ООО ""СК ""Ангара""",Братск,148262.48176,0,0,0,0,0,18277.82347,12803.20047,12732.59047,0,0,70.61,5474.623,5374.25176,1980.65618,0,0,0,0,0,0,1634.62394,1758.97164,39.65,0,0,0,0,0,0,0,0,39.65,0,0,60.72124,0,0,0,129984.65829,129984.65829,0,0,0
111,3999,"ООО ""СК ""АСКО-Жизнь""",Набережные Челны,51488.52931,0,0,0,0,0,51488.52931,51488.52931,2495.52931,0,0,48993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2042,"ООО ""СК ""Гранта""",Казань .,60557.00794,3204.73,0,0,0,0,60557.00794,9473.65938,5661.63206,0,0,3812.02732,51083.34856,43707.31917,41728.90796,0,0,0,69.82841,0,0,945.43474,963.14806,5180.73339,0,0,0,0,0,0,0,3203.01859,1977.7148,0,0,2195.296,0,0,0,0,0,0,0,0
113,3823,"ООО ""СК ""Ингосстрах-Жизнь""",Москва,4499110.06829,75493.02814,4307816.13636,4268960.47169,20695.4345,38855.66467,191293.93193,191293.93193,179426.09209,0,0,11867.83984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3837,"ООО ""СК ""Ингосстрах-М""",Москва,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2169,"ООО ""СК ""Инертек""",Санкт-Петербург,190.15,0,0,0,0,0,190.15,0,0,0,0,0,190.15,185.9,185.9,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
116,3645,"ООО ""СК ""Капитал - Лайф""",Москва,524866.45351,0,524665.19777,523917.91177,1056.45166,747.286,201.25574,201.25574,201.25574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1336,"ООО ""СК ""Капитал-полис""",Санкт-Петербург,437359.30332,0,0,0,0,0,437359.30332,384796.37929,3015.98637,0,0,381780.39292,52562.92403,51006.40716,25937.27443,0,0,0,22380.37276,0,0,2152.26029,536.49968,373.00109,154.75223,154.75223,0,0,0,0,10,9.9625,198.28636,0,0,1183.51578,0,0,0,0,0,0,0,0
118,3493,"ООО ""СК ""Национальные Страховые Традиции""",Москва,-11.96219,0,0,0,0,0,-11.96219,-9.80958,-9.80958,0,0,0,-2.15261,-2.15261,0,0,0,0,0,0,0,0,-2.15261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4293,"ООО ""СК ""Ойлер Гермес Ру""",Москва,292958.28233,0,0,0,0,0,292958.28233,0,0,0,0,0,292958.28233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292958.28233,0,0,0,0,0,0,0,0,0
120,3984,"ООО ""СК ""РГС-Жизнь""",Москва,11111069.48393,907.524,10016862.13375,10008267.25175,411954.51008,8594.882,1094207.35018,1094207.35018,1093508.43468,0,0,698.9155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,3972,"ООО ""СК ""Ренессанс Жизнь""",Москва,6330331.82309,7115.87478,5524884.54571,5524884.54571,2106774.25729,0,805447.27738,805447.27738,728133.81151,0,0,77313.46587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,3492,"ООО ""СК ""РЕСПЕКТ""",Рязань,1695398.26024,0,0,0,0,0,1695398.26024,20671.32,20436.32,0,0,235,1674726.94024,175772.09674,0,0,0,0,174014.21852,0,0,1757.87822,0,1498954.8435,0,0,0,0,0,0,0,0,0,1498954.8435,0,0,0,0,0,0,0,0,0,0
123,1999,"ООО ""СК ""РУССКАЯ КОРОНА""",Рязань,14662.85673,0,0,0,0,0,14662.85673,12781.05443,11027.55443,0,0,1753.5,1881.8023,337.2277,0,0,0,0,181.72,0,0,0,155.5077,1544.5746,0,0,0,0,0,0,0,0,1544.5746,0,0,0,0,0,0,0,0,0,0,0
124,0632,"ООО ""СК ""СЕРВИСРЕЗЕРВ""",Ковров,421430.13855,0,0,0,0,0,41891.24731,18654.62699,18313.62699,0,0,341,23236.62032,22362.45352,19025.55623,0,0,0,0,0,0,347.18512,2989.71217,874.1668,0,0,0,0,0,0,37.25037,0,836.91643,0,0,0,0,0,0,379538.89124,379538.89124,0,0,0
125,1307,"ООО ""СК ""Согласие""",Москва,6598158.0106,147033.49209,0,0,0,0,5471028.31618,877755.76697,312434.17697,0,0,565321.59,4593272.54921,4152118.82233,2847358.36397,25671.78166,1617.06908,167086.95683,133475.2326,14931.73847,3864.09548,871956.25894,90021.42078,314687.48957,173802.22699,40565.98681,133236.24018,43.92328,256.8632,54969.52185,7234.74286,429.093,70914.04734,7037.07105,67754.91581,58711.3215,0,0,0,1218707.37701,1167560.62596,35060.50321,16086.24784,0
126,3678,"ООО ""СК ""Страховой Дом ЕДИНСТВО""",Москва,32352.4488,0,0,0,0,0,32352.4488,29233.75048,6684.73163,0,0,22549.01885,3118.69832,3030.74832,2293.416,0,0,0,0,0,0,740.45732,-3.125,87.95,33,33,0,0,0,0,0,0,54.95,0,0,0,0,0,0,0,0,0,0,0
127,1182,"ООО ""СК ""ТИТ""",Москва,113404.73126,0,0,0,0,0,113404.73126,38851.50224,10795.86649,0,0,28055.63575,74553.22902,39593.26205,12148.68191,0,8196.66003,0,2118.91406,0,0,16464.80333,664.20272,29480.38625,94.816,94.816,0,0,24459.74988,0,0,3639.82037,94,1192,0,5479.58072,0,0,0,0,0,0,0,0
128,3815,"ООО ""СК ""Экспресс-страхование""",Санкт-Петербург,1516.132,0,0,0,0,0,1516.132,0,0,0,0,0,1516.132,0,0,0,0,0,0,0,0,0,0,1103.992,0,0,0,0,0,0,0,0,1054.1,49.892,0,412.14,0,0,0,0,0,0,0,0
