year_quarter,metric,linemain,insurer,value
2022-07-01,direct_premiums,все линии,0915,4.276592923549998
2022-07-01,direct_premiums,все линии,0796,1.1169183912299991
2022-07-01,direct_premiums,все линии,0667,1.7904060190099993
2022-07-01,direct_premiums,все линии,0630,2.942707377289999
2022-07-01,direct_premiums,все линии,0621,64.34375313563
2022-07-01,direct_premiums,все линии,0585,0.4842556249899994
2022-07-01,direct_premiums,все линии,0574,0.019850391500000102
2022-07-01,direct_premiums,все линии,0518,0.6627433170099997
2022-07-01,direct_premiums,все линии,0448,0.00461114
2022-07-01,direct_premiums,все линии,0436,0.1871519805699992
2022-07-01,direct_premiums,все линии,0397,3.790837917159999
2022-07-01,direct_premiums,все линии,0348,0.013192818349999996
2022-07-01,direct_premiums,все линии,0290,1.9961938947799993
2022-07-01,direct_premiums,все линии,0212,0.8780195685399997
2022-07-01,direct_premiums,все линии,0206,0.24247219748999949
2022-07-01,direct_premiums,все линии,0191,26.538681914629997
2022-07-01,direct_premiums,все линии,0141,0.7014782563199993
2022-07-01,direct_premiums,все линии,0013,0.32967464444
2022-07-01,direct_premiums,все линии,0001,48.47324674238
2022-07-01,direct_premiums,все линии,0928,111.8512334781
2022-07-01,direct_premiums,все линии,1083,6.851589571509999
2022-07-01,direct_premiums,все линии,1208,238.85431761661
2022-07-01,direct_premiums,все линии,3193,0.026224424540000298
2022-07-01,direct_premiums,все линии,3128,0.1594145859699998
2022-07-01,direct_premiums,все линии,3064,0.7545902508799993
2022-07-01,direct_premiums,все линии,2947,6.649340441929999
2022-07-01,direct_premiums,все линии,2917,0.1561139048500001
2022-07-01,direct_premiums,все линии,2877,0.6585839536499996
2022-07-01,direct_premiums,все линии,2733,0.03540068433
2022-07-01,direct_premiums,все линии,2682,1.3222585074399995
2022-07-01,direct_premiums,все линии,2619,5.351750185999999
2022-07-01,direct_premiums,все линии,2496,5.642482194799999
2022-07-01,direct_premiums,все линии,2346,1.8926914217599988
2022-07-01,direct_premiums,все линии,2239,109.45901840740001
2022-07-01,direct_premiums,все линии,2144,0.1196951548699996
2022-07-01,direct_premiums,все линии,2042,0.1890380423599994
2022-07-01,direct_premiums,все линии,2027,1.5088497317899991
2022-07-01,direct_premiums,все линии,1858,0.9397384009499993
2022-07-01,direct_premiums,все линии,1834,13.64795086531
2022-07-01,direct_premiums,все линии,1820,0.14168800303999962
2022-07-01,direct_premiums,все линии,1675,12.349514496789999
2022-07-01,direct_premiums,все линии,1623,0.0739986703899997
2022-07-01,direct_premiums,все линии,1587,0.2308367912999995
2022-07-01,direct_premiums,все линии,1580,0.6674766535999997
2022-07-01,direct_premiums,все линии,1427,10.866642882899999
2022-07-01,direct_premiums,все линии,1412,1.0464590586499996
2022-07-01,direct_premiums,все линии,1336,1.1684799373999994
2022-07-01,direct_premiums,все линии,1307,27.823470749149998
2022-07-01,direct_premiums,все линии,1284,39.40924938767
2022-07-01,direct_premiums,все линии,1216,1.3694724431799992
2022-07-01,direct_premiums,все линии,1209,94.45175254321
2022-07-01,direct_premiums,все линии,1182,1.316187385309999
2022-07-01,direct_premiums,все линии,3211,18.06967472725
2022-07-01,direct_premiums,все линии,3225,0.8277833357499997
2022-07-01,direct_premiums,все линии,3229,2.066540565899999
2022-07-01,direct_premiums,все линии,3256,3.29908883923
2022-07-01,direct_premiums,все линии,total,1330.0056701397698
2022-07-01,direct_premiums,все линии,4392,0.00039
2022-07-01,direct_premiums,все линии,4383,2.5e-06
2022-07-01,direct_premiums,все линии,4382,0.5022725800600001
2022-07-01,direct_premiums,все линии,4380,0.1985652153399997
2022-07-01,direct_premiums,все линии,4379,0.1065989413399997
2022-07-01,direct_premiums,все линии,4377,0.1226295
2022-07-01,direct_premiums,все линии,4376,0.0011394501399999998
2022-07-01,direct_premiums,все линии,4372,0.1504363685199997
2022-07-01,direct_premiums,все линии,3943,0.34653195648
2022-07-01,direct_premiums,все линии,3941,1.2114703209399993
2022-07-01,direct_premiums,все линии,3879,21.17650618898
2022-07-01,direct_premiums,все линии,3870,0.2396380116299999
2022-07-01,direct_premiums,все линии,3867,0.8992173724499999
2022-07-01,direct_premiums,все линии,3866,2.35136108778
2022-07-01,direct_premiums,все линии,3847,4.359434183869999
2022-07-01,direct_premiums,все линии,3837,0.0562802207699999
2022-07-01,direct_premiums,все линии,3834,0.0024341086099997
2022-07-01,direct_premiums,все линии,3828,8.396721730229999
2022-07-01,direct_premiums,все линии,3826,0.6941097754099999
2022-07-01,direct_premiums,все линии,3825,35.97495661197
