year_quarter,metric,line_type,linemain,insurer,value
2022-01-01,ceded_losses,non-life,каско и ж/д,2947,0.01741361071
2022-01-01,ceded_losses,non-life,каско и ж/д,3193,0.0013225
2022-01-01,ceded_losses,non-life,каско и ж/д,3300,0.00160415792
2022-01-01,ceded_losses,non-life,каско и ж/д,3867,0.0004452118199999
2022-01-01,ceded_losses,non-life,каско и ж/д,3941,0.0021644044899999
2022-01-01,ceded_losses,non-life,каско и ж/д,4174,0.03247797049
2022-01-01,ceded_losses,non-life,каско и ж/д,4331,0.00045069756
2022-01-01,ceded_losses,non-life,каско и ж/д,4359,0.00049222563
2022-01-01,ceded_losses,non-life,каско и ж/д,4360,0.00156862914
2022-01-01,ceded_losses,non-life,каско и ж/д,total,1.1138018391799998
2022-01-01,ceded_losses,non-life,нс и оглс,0141,0.0001763725399999
2022-01-01,ceded_losses,non-life,нс и оглс,0212,5.471707e-05
2022-01-01,ceded_losses,non-life,нс и оглс,0290,0.00528871246
2022-01-01,ceded_losses,non-life,нс и оглс,0574,3.934916e-05
2022-01-01,ceded_losses,non-life,нс и оглс,0630,0.00118594502
2022-01-01,ceded_losses,non-life,нс и оглс,0667,0.0041837150199999
2022-01-01,ceded_losses,non-life,нс и оглс,1182,0.00713963003
2022-01-01,ceded_losses,non-life,нс и оглс,1209,0.0353955372199999
2022-01-01,ceded_losses,non-life,нс и оглс,1284,0.03608612476
2022-01-01,ceded_losses,non-life,нс и оглс,1427,0.0194412614199999
2022-01-01,ceded_losses,non-life,нс и оглс,1675,0.0035209999
2022-01-01,ceded_losses,non-life,нс и оглс,1834,7.72008e-06
2022-01-01,ceded_losses,non-life,нс и оглс,2042,0.00032002295
2022-01-01,ceded_losses,non-life,нс и оглс,2239,0.01697084815
2022-01-01,ceded_losses,non-life,нс и оглс,2346,0.00349999923
2022-01-01,ceded_losses,non-life,нс и оглс,2496,0.0112233290199999
2022-01-01,ceded_losses,non-life,нс и оглс,2947,0.14369222713
2022-01-01,ceded_losses,non-life,нс и оглс,3256,0.02388944164
2022-01-01,ceded_losses,non-life,нс и оглс,3300,0.00853302063
2022-01-01,ceded_losses,non-life,нс и оглс,3447,9e-06
2022-01-01,ceded_losses,non-life,нс и оглс,3609,0.0014445826999999
2022-01-01,ceded_losses,non-life,нс и оглс,3823,0.03284012053
2022-01-01,ceded_losses,non-life,нс и оглс,3828,0.00353582047
2022-01-01,ceded_losses,non-life,нс и оглс,3867,0.00188674182
2022-01-01,ceded_losses,non-life,нс и оглс,3879,0.02979896871
2022-01-01,ceded_losses,non-life,нс и оглс,3969,0.00022624734
2022-01-01,ceded_losses,non-life,нс и оглс,3972,0.00615167145
2022-01-01,ceded_losses,non-life,нс и оглс,4117,0.00847570638
2022-01-01,ceded_losses,non-life,нс и оглс,total,0.40501783282999937
2022-01-01,ceded_losses,non-life,осаго,0630,0.0073709975299999
2022-01-01,ceded_losses,non-life,осаго,1208,0.0232219420199999
2022-01-01,ceded_losses,non-life,осаго,1858,0.06801820212
2022-01-01,ceded_losses,non-life,осаго,total,0.09861114166999979
2022-01-01,ceded_losses,non-life,предпр. и фин риски,0212,0.00086726588
